SYMBOL,SERIES,DATE1,PREV_CLOSE,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,LAST_PRICE,CLOSE_PRICE,AVG_PRICE,TTL_TRD_QNTY,TURNOVER_LACS,NO_OF_TRADES,DELIV_QTY,DELIV_PER
20MICRONS,EQ,2021-07-22,66.25,67.5,67.9,66.05,67.0,66.65,66.85,101745,68.02,2034,60812,59.77
21STCENMGM,EQ,2021-07-22,22.35,21.95,21.95,21.95,21.95,21.95,21.95,1111,0.24,20,1111,100.00
3MINDIA,EQ,2021-07-22,24258.7,24449.0,24720.55,24071.0,24120.0,24108.0,24198.4,4016,971.81,2793,2369,58.99
5PAISA,EQ,2021-07-22,514.1,537.0,537.0,519.55,528.0,524.85,525.27,43838,230.27,1930,23196,52.91
63MOONS,EQ,2021-07-22,104.15,108.65,109.35,106.1,109.35,109.35,109.04,142443,155.32,1017,105039,73.74
A2ZINFRA,EQ,2021-07-22,5.5,5.45,5.75,5.45,5.75,5.75,5.69,616615,35.07,466,409618,66.43
AAKASH,EQ,2021-07-22,228.8,232.0,235.0,227.25,230.75,229.55,229.32,111749,256.26,887,40915,36.61
AARON,EQ,2021-07-22,111.55,106.0,116.75,106.0,114.0,113.5,112.24,25408,28.52,537,10399,40.93
AARTIDRUGS,EQ,2021-07-22,713.05,719.6,726.7,713.5,721.6,722.7,720.83,233113,1680.36,7960,78144,33.52
AARTIIND,EQ,2021-07-22,862.15,873.0,882.85,862.15,881.0,880.85,876.1,1251334,10962.98,35095,588379,47.02
AARTISURF,EQ,2021-07-22,1409.3,1409.3,1448.0,1409.3,1414.95,1413.6,1428.48,10630,151.85,2114,5253,49.42
AARVEEDEN,EQ,2021-07-22,26.9,25.85,27.25,25.6,25.6,25.7,26.15,78531,20.53,553,48009,61.13
AARVI,EQ,2021-07-22,71.25,72.95,75.0,72.0,73.5,73.2,73.65,100361,73.92,1501,59998,59.78
AAVAS,EQ,2021-07-22,2804.5,2876.7,2876.7,2706.6,2746.0,2728.9,2815.13,62652,1763.74,8065,44618,71.22
ABAN,EQ,2021-07-22,45.6,47.85,47.85,47.2,47.85,47.85,47.85,178298,85.31,1122,143303,80.37
ABB,EQ,2021-07-22,1719.0,1726.45,1735.0,1702.25,1708.7,1711.1,1722.88,131419,2264.2,14501,103515,78.77
