COMPANY_NAME,DATE1,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,LAST_PRICE,CLOSE_PRICE
5PAISA,2021-07-01,419.0,424.0,417.0,419.0,418.95
5PAISA,2021-07-02,421.2,428.7,417.55,424.6,423.5
5PAISA,2021-07-05,431.0,431.3,423.8,429.2,429.2
5PAISA,2021-07-06,428.85,450.65,428.0,435.5,436.15
5PAISA,2021-07-07,447.4,457.95,436.05,457.95,457.95
5PAISA,2021-07-08,467.0,480.8,450.0,474.0,473.8
5PAISA,2021-07-09,483.0,497.45,474.7,491.0,489.55
5PAISA,2021-07-12,512.9,514.0,500.05,514.0,514.0
5PAISA,2021-07-13,528.0,539.7,512.0,539.7,530.4
5PAISA,2021-07-14,542.0,556.9,530.0,544.95,553.2
5PAISA,2021-07-15,567.4,580.0,525.55,525.55,525.95
5PAISA,2021-07-16,519.0,552.2,500.25,552.2,552.2
5PAISA,2021-07-19,551.0,564.8,530.1,539.5,538.95
5PAISA,2021-07-20,542.75,549.0,512.05,513.9,514.1
5PAISA,2021-07-20,542.75,549.0,512.05,513.9,514.1
5PAISA,2021-07-22,537.0,537.0,519.55,528.0,524.85
5PAISA,2021-07-23,531.75,535.0,508.6,512.6,512.15
5PAISA,2021-07-26,519.95,537.75,502.15,529.0,532.6
5PAISA,2021-07-27,535.0,549.85,510.1,516.5,516.25
5PAISA,2021-07-28,523.6,523.6,508.0,511.95,511.6
