COMPANY_NAME,DATE1,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,LAST_PRICE,CLOSE_PRICE
ABB,2021-07-01,1816.0,1826.95,1778.8,1796.35,1793.7
ABB,2021-07-02,1810.0,1830.0,1766.65,1780.55,1787.15
ABB,2021-07-05,1794.9,1801.0,1761.0,1771.05,1773.75
ABB,2021-07-06,1771.05,1784.25,1746.05,1750.0,1757.75
ABB,2021-07-07,1753.0,1757.7,1730.2,1740.0,1742.1
ABB,2021-07-08,1742.1,1750.5,1695.1,1710.0,1703.25
ABB,2021-07-09,1711.2,1725.0,1683.5,1705.6,1713.45
ABB,2021-07-12,1718.45,1736.0,1701.45,1721.05,1725.95
ABB,2021-07-13,1730.0,1804.0,1715.55,1803.0,1787.05
ABB,2021-07-14,1804.0,1840.0,1785.55,1797.3,1805.5
ABB,2021-07-15,1806.5,1818.5,1770.0,1778.5,1779.05
ABB,2021-07-16,1779.0,1784.0,1751.45,1761.0,1763.2
ABB,2021-07-19,1772.5,1777.9,1731.15,1735.9,1738.8
ABB,2021-07-20,1739.25,1743.85,1710.0,1713.5,1719.0
ABB,2021-07-20,1739.25,1743.85,1710.0,1713.5,1719.0
ABB,2021-07-22,1726.45,1735.0,1702.25,1708.7,1711.1
ABB,2021-07-23,1716.9,1716.9,1691.1,1693.75,1695.8
ABB,2021-07-26,1688.0,1726.15,1678.15,1714.0,1712.3
ABB,2021-07-27,1727.2,1780.3,1624.05,1652.0,1669.15
ABB,2021-07-28,1675.15,1708.5,1653.75,1706.0,1699.05
