COMPANY_NAME,DATE1,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,LAST_PRICE,CLOSE_PRICE
ABSLNN50ET,2021-07-01,393.15,393.15,390.01,393.15,393.15
ABSLNN50ET,2021-07-02,393.0,393.0,390.0,390.05,390.05
ABSLNN50ET,2021-07-05,393.66,402.0,393.0,393.0,393.0
ABSLNN50ET,2021-07-06,392.95,459.4,392.95,393.25,394.85
ABSLNN50ET,2021-07-07,394.0,394.0,394.0,394.0,394.0
ABSLNN50ET,2021-07-08,399.0,399.0,393.26,394.5,394.5
ABSLNN50ET,2021-07-09,390.9,395.5,390.1,395.44,395.44
ABSLNN50ET,2021-07-12,392.22,398.0,387.0,394.5,394.5
ABSLNN50ET,2021-07-13,406.33,406.33,392.55,393.4,393.4
ABSLNN50ET,2021-07-14,396.0,396.0,392.25,395.35,395.35
ABSLNN50ET,2021-07-15,399.6,399.6,396.0,396.0,396.0
ABSLNN50ET,2021-07-16,399.6,399.6,394.45,397.55,397.55
ABSLNN50ET,2021-07-19,399.6,403.0,394.26,397.5,397.5
ABSLNN50ET,2021-07-20,395.0,395.0,391.0,391.0,391.0
ABSLNN50ET,2021-07-20,395.0,395.0,391.0,391.0,391.0
ABSLNN50ET,2021-07-22,399.6,402.0,387.0,398.25,398.25
ABSLNN50ET,2021-07-23,399.6,401.11,394.0,398.0,398.0
ABSLNN50ET,2021-07-26,399.0,405.9,394.82,397.8,397.2
ABSLNN50ET,2021-07-27,396.0,407.0,392.1,396.95,396.95
ABSLNN50ET,2021-07-28,398.0,398.0,393.05,396.0,396.0
