COMPANY_NAME,DATE1,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,LAST_PRICE,CLOSE_PRICE
ACE,2021-07-01,228.3,229.45,222.0,223.1,223.0
ACE,2021-07-02,225.25,236.0,223.1,235.7,232.9
ACE,2021-07-05,235.9,253.7,232.25,241.9,240.6
ACE,2021-07-06,241.95,244.3,229.2,231.95,230.9
ACE,2021-07-07,231.95,238.0,228.95,233.0,233.55
ACE,2021-07-08,233.0,234.95,224.2,227.0,227.05
ACE,2021-07-09,224.5,227.55,222.5,226.2,225.35
ACE,2021-07-12,228.75,235.0,224.1,226.75,225.9
ACE,2021-07-13,230.0,238.5,230.0,233.0,233.55
ACE,2021-07-14,233.5,238.6,230.0,231.4,230.95
ACE,2021-07-15,229.0,234.65,227.05,229.25,228.65
ACE,2021-07-16,230.4,236.9,228.1,231.75,231.45
ACE,2021-07-19,230.9,236.5,228.5,235.0,234.35
ACE,2021-07-20,236.0,236.0,227.0,228.55,228.35
ACE,2021-07-20,236.0,236.0,227.0,228.55,228.35
ACE,2021-07-22,234.0,234.75,228.6,229.7,229.85
ACE,2021-07-23,232.7,260.3,229.6,247.0,246.1
ACE,2021-07-26,247.95,268.25,247.55,265.0,263.7
ACE,2021-07-27,266.7,271.9,254.25,262.0,261.6
ACE,2021-07-28,262.0,262.55,245.75,253.8,253.45
