COMPANY_NAME,DATE1,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,LAST_PRICE,CLOSE_PRICE
ADANIPORTS,2021-07-01,706.0,711.85,700.0,705.0,703.1
ADANIPORTS,2021-07-02,705.0,724.3,705.0,710.85,710.4
ADANIPORTS,2021-07-05,717.0,721.0,703.0,709.5,710.05
ADANIPORTS,2021-07-06,712.0,731.95,707.1,714.0,712.7
ADANIPORTS,2021-07-07,716.9,723.0,706.0,722.5,720.1
ADANIPORTS,2021-07-08,724.0,728.0,709.1,711.8,711.7
ADANIPORTS,2021-07-09,712.5,737.0,708.35,728.0,728.5
ADANIPORTS,2021-07-12,734.4,735.65,715.05,717.95,718.05
ADANIPORTS,2021-07-13,720.0,720.9,702.0,704.35,704.0
ADANIPORTS,2021-07-14,709.4,711.5,695.35,696.7,697.25
ADANIPORTS,2021-07-15,699.7,706.4,695.5,698.8,699.1
ADANIPORTS,2021-07-16,699.7,702.9,685.25,689.0,687.6
ADANIPORTS,2021-07-19,686.0,693.0,661.4,673.85,673.7
ADANIPORTS,2021-07-20,661.0,680.85,660.0,671.85,672.6
ADANIPORTS,2021-07-20,661.0,680.85,660.0,671.85,672.6
ADANIPORTS,2021-07-22,678.0,695.0,666.7,692.7,691.8
ADANIPORTS,2021-07-23,700.0,700.0,677.2,678.8,680.05
ADANIPORTS,2021-07-26,680.0,690.95,674.45,682.25,682.8
ADANIPORTS,2021-07-27,682.8,686.3,660.35,662.35,663.2
ADANIPORTS,2021-07-28,668.4,676.75,654.2,664.5,665.4
