COMPANY_NAME,DATE1,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,LAST_PRICE,CLOSE_PRICE
ADVANIHOTR,2021-07-01,69.0,69.75,66.4,66.55,66.75
ADVANIHOTR,2021-07-02,67.25,68.35,66.8,67.2,67.25
ADVANIHOTR,2021-07-05,66.5,68.7,66.5,68.0,67.5
ADVANIHOTR,2021-07-06,68.5,69.95,67.2,67.6,68.1
ADVANIHOTR,2021-07-07,69.5,69.75,68.3,68.95,68.9
ADVANIHOTR,2021-07-08,69.8,69.8,67.2,67.9,67.65
ADVANIHOTR,2021-07-09,69.35,69.45,67.25,67.3,67.35
ADVANIHOTR,2021-07-12,67.35,68.35,66.5,67.6,67.1
ADVANIHOTR,2021-07-13,68.0,69.95,67.1,69.8,69.35
ADVANIHOTR,2021-07-14,69.0,69.2,67.1,67.7,67.85
ADVANIHOTR,2021-07-15,67.85,68.9,66.25,66.35,66.45
ADVANIHOTR,2021-07-16,67.85,73.05,66.4,71.1,71.95
ADVANIHOTR,2021-07-19,71.0,78.7,68.55,77.4,76.7
ADVANIHOTR,2021-07-20,78.0,78.5,72.0,74.05,74.45
ADVANIHOTR,2021-07-20,78.0,78.5,72.0,74.05,74.45
ADVANIHOTR,2021-07-22,76.45,76.45,73.0,73.05,73.3
ADVANIHOTR,2021-07-23,72.15,72.75,68.2,69.1,69.25
ADVANIHOTR,2021-07-26,71.7,71.7,68.0,71.4,70.7
ADVANIHOTR,2021-07-27,71.7,74.95,70.0,72.3,72.45
ADVANIHOTR,2021-07-28,72.0,74.95,70.85,73.2,72.75
