COMPANY_NAME,DATE1,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,LAST_PRICE,CLOSE_PRICE
AJMERA,2021-07-01,268.5,279.0,267.85,270.85,270.25
AJMERA,2021-07-02,271.15,283.0,270.0,278.1,278.0
AJMERA,2021-07-05,278.0,280.55,261.75,268.9,268.2
AJMERA,2021-07-06,269.7,295.0,267.05,295.0,294.65
AJMERA,2021-07-07,300.0,313.5,291.0,299.5,299.5
AJMERA,2021-07-08,299.5,307.0,283.55,291.0,290.8
AJMERA,2021-07-09,288.95,295.0,280.05,285.0,283.15
AJMERA,2021-07-12,285.35,311.45,285.35,300.9,301.1
AJMERA,2021-07-13,304.9,307.0,295.2,296.5,296.85
AJMERA,2021-07-14,296.5,302.8,282.65,297.5,297.75
AJMERA,2021-07-15,296.2,324.0,286.0,318.25,317.05
AJMERA,2021-07-16,319.9,323.35,304.35,310.0,309.0
AJMERA,2021-07-19,304.1,317.0,295.0,310.0,310.85
AJMERA,2021-07-20,308.6,312.0,298.3,305.9,305.65
AJMERA,2021-07-20,308.6,312.0,298.3,305.9,305.65
