COMPANY_NAME,DATE1,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,LAST_PRICE,CLOSE_PRICE
ALBERTDAVD,2021-07-01,490.0,496.0,481.7,486.0,483.1
ALBERTDAVD,2021-07-02,485.0,488.45,481.2,482.0,482.8
ALBERTDAVD,2021-07-05,487.1,487.9,479.05,479.5,480.6
ALBERTDAVD,2021-07-06,480.0,525.0,480.0,507.35,506.9
ALBERTDAVD,2021-07-07,510.85,523.0,505.2,508.0,508.3
ALBERTDAVD,2021-07-08,508.3,512.2,498.0,500.2,500.75
ALBERTDAVD,2021-07-09,497.65,505.85,496.85,502.9,499.3
ALBERTDAVD,2021-07-12,500.05,508.0,499.05,500.55,500.75
ALBERTDAVD,2021-07-13,502.05,504.55,498.3,501.0,500.25
ALBERTDAVD,2021-07-14,499.45,574.0,499.0,561.5,558.45
ALBERTDAVD,2021-07-15,562.9,570.0,538.2,538.3,543.4
ALBERTDAVD,2021-07-16,540.2,559.0,538.0,542.25,540.8
ALBERTDAVD,2021-07-19,540.0,541.75,530.0,531.9,533.3
ALBERTDAVD,2021-07-20,536.4,622.9,530.1,570.0,572.05
ALBERTDAVD,2021-07-20,536.4,622.9,530.1,570.0,572.05
ALBERTDAVD,2021-07-22,578.7,598.0,565.5,582.0,582.3
ALBERTDAVD,2021-07-23,585.0,593.5,571.4,573.0,573.7
ALBERTDAVD,2021-07-26,573.7,574.85,559.75,560.0,561.85
ALBERTDAVD,2021-07-27,562.0,580.0,557.3,567.45,563.85
ALBERTDAVD,2021-07-28,566.9,566.9,542.0,546.9,544.7
