COMPANY_NAME,DATE1,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,LAST_PRICE,CLOSE_PRICE
ALICON,2021-07-01,592.35,643.5,580.05,643.5,633.75
ALICON,2021-07-02,650.0,760.5,645.0,760.5,760.5
ALICON,2021-07-05,774.0,774.0,708.35,712.5,712.1
ALICON,2021-07-06,705.0,730.0,675.25,681.0,684.35
ALICON,2021-07-07,690.0,698.0,652.15,677.0,679.3
ALICON,2021-07-08,686.0,710.0,676.0,681.3,681.0
ALICON,2021-07-09,681.0,695.0,665.2,670.0,670.8
ALICON,2021-07-12,670.8,705.0,660.15,702.15,690.55
ALICON,2021-07-13,702.0,719.8,690.25,715.0,711.55
ALICON,2021-07-14,715.0,853.85,715.0,814.95,817.7
ALICON,2021-07-15,820.0,830.0,781.0,787.95,786.35
ALICON,2021-07-16,786.0,810.15,775.6,803.0,800.75
ALICON,2021-07-19,802.95,805.0,763.3,775.0,774.85
ALICON,2021-07-20,785.0,854.7,756.4,825.0,812.6
ALICON,2021-07-20,785.0,854.7,756.4,825.0,812.6
ALICON,2021-07-22,844.35,844.35,790.1,811.0,809.5
ALICON,2021-07-23,817.0,835.95,799.0,820.05,820.45
ALICON,2021-07-26,827.95,848.0,813.0,816.55,816.85
ALICON,2021-07-27,824.85,836.0,818.65,823.0,825.1
ALICON,2021-07-28,832.9,833.05,780.1,804.1,815.75
