COMPANY_NAME,DATE1,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,LAST_PRICE,CLOSE_PRICE
ALOKINDS,2021-07-01,27.3,27.8,26.9,27.15,27.2
ALOKINDS,2021-07-02,27.35,27.45,26.55,26.75,26.7
ALOKINDS,2021-07-05,26.75,27.75,26.75,27.1,27.05
ALOKINDS,2021-07-06,27.15,27.6,26.6,26.8,26.7
ALOKINDS,2021-07-07,26.9,27.1,26.55,26.75,26.65
ALOKINDS,2021-07-08,26.9,28.2,26.65,27.35,27.3
ALOKINDS,2021-07-09,27.4,27.65,26.95,27.1,27.1
ALOKINDS,2021-07-12,27.55,29.15,27.1,28.35,28.45
ALOKINDS,2021-07-13,28.7,28.75,27.75,28.25,28.25
ALOKINDS,2021-07-14,28.3,29.1,27.75,28.25,28.4
ALOKINDS,2021-07-15,28.5,29.3,27.9,28.05,28.05
ALOKINDS,2021-07-16,28.2,28.25,27.6,27.7,27.8
ALOKINDS,2021-07-19,27.45,27.85,27.2,27.35,27.45
ALOKINDS,2021-07-20,25.65,26.3,25.25,25.5,25.4
ALOKINDS,2021-07-20,25.65,26.3,25.25,25.5,25.4
ALOKINDS,2021-07-22,26.0,26.7,25.8,26.25,26.2
ALOKINDS,2021-07-23,26.45,26.5,25.35,25.55,25.5
ALOKINDS,2021-07-26,25.6,25.6,24.5,24.7,24.7
ALOKINDS,2021-07-27,24.9,25.6,24.75,24.95,24.95
ALOKINDS,2021-07-28,25.05,25.65,24.0,25.5,25.4
