COMPANY_NAME,DATE1,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,LAST_PRICE,CLOSE_PRICE
APARINDS,2021-07-01,520.0,534.0,515.05,527.0,529.05
APARINDS,2021-07-02,529.5,544.9,523.5,536.5,538.1
APARINDS,2021-07-05,539.9,548.0,536.5,545.5,544.35
APARINDS,2021-07-06,548.7,558.0,535.0,538.25,539.8
APARINDS,2021-07-07,542.3,554.0,532.55,543.0,543.05
APARINDS,2021-07-08,544.0,552.9,533.55,535.0,537.0
APARINDS,2021-07-09,538.5,544.0,533.0,537.0,538.6
APARINDS,2021-07-12,550.0,576.8,541.0,559.0,561.4
APARINDS,2021-07-13,566.3,576.0,564.0,564.0,565.55
APARINDS,2021-07-14,568.4,575.0,563.0,565.0,567.65
APARINDS,2021-07-15,568.4,576.0,550.1,553.5,551.95
APARINDS,2021-07-16,560.0,582.3,559.0,564.6,565.0
APARINDS,2021-07-19,562.7,575.0,559.9,564.0,564.05
APARINDS,2021-07-20,563.0,568.5,545.05,548.0,548.7
APARINDS,2021-07-20,563.0,568.5,545.05,548.0,548.7
APARINDS,2021-07-22,550.0,572.0,550.0,562.2,566.6
APARINDS,2021-07-23,566.0,623.0,560.0,613.0,612.8
APARINDS,2021-07-26,616.4,639.4,600.6,608.35,610.15
APARINDS,2021-07-27,612.0,674.0,612.0,672.05,660.4
APARINDS,2021-07-28,675.05,723.0,663.0,678.1,679.7
