COMPANY_NAME,DATE1,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,LAST_PRICE,CLOSE_PRICE
ARSHIYA,2021-07-01,33.95,35.2,33.15,34.55,34.6
ARSHIYA,2021-07-02,34.6,35.9,33.15,33.9,33.85
ARSHIYA,2021-07-05,34.5,35.2,33.9,34.4,34.4
ARSHIYA,2021-07-06,34.5,35.3,33.75,33.8,34.0
ARSHIYA,2021-07-07,34.5,34.5,32.35,32.6,32.55
ARSHIYA,2021-07-08,32.3,33.0,31.1,31.45,31.6
ARSHIYA,2021-07-09,32.25,32.75,31.2,31.6,31.35
ARSHIYA,2021-07-12,32.0,32.9,31.15,32.9,32.9
ARSHIYA,2021-07-13,32.9,34.5,32.1,33.25,33.45
ARSHIYA,2021-07-14,34.0,34.45,32.4,32.75,32.65
ARSHIYA,2021-07-15,33.5,33.5,31.05,31.5,31.15
ARSHIYA,2021-07-16,31.5,32.25,30.35,30.9,30.5
ARSHIYA,2021-07-19,31.8,31.8,29.1,30.15,29.95
ARSHIYA,2021-07-20,28.65,30.8,28.65,30.0,29.9
ARSHIYA,2021-07-20,28.65,30.8,28.65,30.0,29.9
ARSHIYA,2021-07-22,31.1,31.2,29.95,31.1,31.0
ARSHIYA,2021-07-23,30.7,31.45,30.0,30.0,30.2
ARSHIYA,2021-07-26,30.8,31.0,29.7,30.2,30.8
ARSHIYA,2021-07-27,30.9,31.5,30.0,30.25,30.2
ARSHIYA,2021-07-28,30.45,30.45,29.25,29.85,29.85
