COMPANY_NAME,DATE1,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,LAST_PRICE,CLOSE_PRICE
ASAHISONG,2021-07-01,336.65,341.0,334.9,339.5,337.7
ASAHISONG,2021-07-02,346.4,356.75,335.1,353.5,352.3
ASAHISONG,2021-07-05,355.4,366.0,337.0,360.0,360.55
ASAHISONG,2021-07-06,365.0,369.95,352.25,364.05,364.1
ASAHISONG,2021-07-07,365.8,365.8,353.0,356.5,355.9
ASAHISONG,2021-07-08,357.9,363.7,350.0,357.9,355.3
ASAHISONG,2021-07-09,351.05,358.45,351.0,355.7,352.6
ASAHISONG,2021-07-12,359.0,360.0,352.7,357.0,356.7
ASAHISONG,2021-07-13,359.7,367.4,355.2,359.15,360.15
ASAHISONG,2021-07-14,359.05,379.25,359.05,374.85,374.0
ASAHISONG,2021-07-15,374.0,385.0,371.25,373.75,375.15
ASAHISONG,2021-07-16,378.7,378.7,369.05,371.05,369.75
ASAHISONG,2021-07-19,371.0,377.0,363.4,369.8,368.9
ASAHISONG,2021-07-20,368.0,371.7,353.95,356.0,355.6
ASAHISONG,2021-07-20,368.0,371.7,353.95,356.0,355.6
ASAHISONG,2021-07-22,369.9,369.9,346.1,352.5,350.8
ASAHISONG,2021-07-23,359.95,380.5,350.2,363.0,363.65
ASAHISONG,2021-07-26,363.65,377.5,358.4,370.45,373.25
ASAHISONG,2021-07-27,378.0,378.0,361.95,363.0,363.0
ASAHISONG,2021-07-28,374.95,374.95,358.0,359.0,361.9
