COMPANY_NAME,DATE1,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,LAST_PRICE,CLOSE_PRICE
ASHOKA,2021-07-01,111.6,112.5,108.75,109.35,109.25
ASHOKA,2021-07-02,109.45,112.8,109.15,112.3,112.2
ASHOKA,2021-07-05,112.55,117.65,112.0,114.9,115.25
ASHOKA,2021-07-06,115.55,116.55,110.05,111.9,111.65
ASHOKA,2021-07-07,111.25,111.5,109.1,110.4,110.05
ASHOKA,2021-07-08,110.05,112.8,109.25,111.0,110.85
ASHOKA,2021-07-09,111.35,115.8,109.5,114.35,114.8
ASHOKA,2021-07-12,115.7,116.55,111.15,112.0,111.8
ASHOKA,2021-07-13,114.75,116.95,111.15,111.85,112.0
ASHOKA,2021-07-14,112.0,113.45,109.4,110.0,109.85
ASHOKA,2021-07-15,110.7,111.95,107.1,107.95,107.85
ASHOKA,2021-07-16,108.7,112.0,107.15,108.15,107.6
ASHOKA,2021-07-19,107.6,109.9,107.4,108.05,108.0
ASHOKA,2021-07-20,108.9,109.5,100.95,104.8,104.55
ASHOKA,2021-07-20,108.9,109.5,100.95,104.8,104.55
ASHOKA,2021-07-22,105.75,106.8,105.05,106.0,105.95
ASHOKA,2021-07-23,106.9,106.9,104.1,104.8,104.4
ASHOKA,2021-07-26,104.4,104.4,102.15,103.25,102.65
ASHOKA,2021-07-27,103.05,104.9,101.0,101.95,101.45
ASHOKA,2021-07-28,101.4,101.7,99.05,101.45,100.9
