COMPANY_NAME,DATE1,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,LAST_PRICE,CLOSE_PRICE
ASPINWALL,2021-07-01,193.95,193.95,189.05,193.0,192.15
ASPINWALL,2021-07-02,194.0,214.0,191.95,202.8,204.25
ASPINWALL,2021-07-05,205.7,209.55,191.05,196.3,198.05
ASPINWALL,2021-07-06,205.95,206.0,196.0,196.0,198.9
ASPINWALL,2021-07-07,200.1,203.75,195.05,196.05,197.2
ASPINWALL,2021-07-08,200.15,203.7,195.0,196.0,196.05
ASPINWALL,2021-07-09,198.0,202.65,196.05,199.5,198.35
ASPINWALL,2021-07-12,195.65,233.0,195.65,211.95,212.4
ASPINWALL,2021-07-13,216.0,217.4,207.05,207.55,208.7
ASPINWALL,2021-07-14,207.1,212.7,205.25,207.5,206.9
ASPINWALL,2021-07-15,209.0,213.95,207.0,211.5,211.35
ASPINWALL,2021-07-16,205.6,230.0,205.6,219.0,221.4
ASPINWALL,2021-07-19,216.5,237.8,214.05,226.0,226.1
ASPINWALL,2021-07-20,228.6,234.8,212.55,215.0,218.85
ASPINWALL,2021-07-20,228.6,234.8,212.55,215.0,218.85
ASPINWALL,2021-07-22,220.5,262.6,220.5,247.4,256.05
ASPINWALL,2021-07-23,253.95,254.8,238.0,243.45,243.35
ASPINWALL,2021-07-26,250.0,268.3,245.0,252.0,250.4
ASPINWALL,2021-07-27,253.45,258.5,242.0,248.7,248.05
ASPINWALL,2021-07-28,249.9,249.9,218.0,231.65,229.5
