COMPANY_NAME,DATE1,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,LAST_PRICE,CLOSE_PRICE
ASTRAMICRO,2021-07-01,167.6,170.25,165.2,166.0,165.75
ASTRAMICRO,2021-07-02,165.8,167.65,162.0,165.0,165.85
ASTRAMICRO,2021-07-05,165.85,172.4,165.5,170.0,169.8
ASTRAMICRO,2021-07-06,169.0,177.45,168.0,174.0,173.1
ASTRAMICRO,2021-07-07,172.05,174.9,170.3,171.6,171.5
ASTRAMICRO,2021-07-08,171.5,173.95,163.35,166.3,165.6
ASTRAMICRO,2021-07-09,167.7,171.7,165.95,169.5,170.25
ASTRAMICRO,2021-07-12,171.95,172.3,165.5,166.6,167.9
ASTRAMICRO,2021-07-13,169.0,172.85,166.25,168.85,169.05
ASTRAMICRO,2021-07-14,170.35,184.55,168.1,179.5,178.85
ASTRAMICRO,2021-07-15,180.0,187.5,178.3,181.55,181.95
ASTRAMICRO,2021-07-16,183.4,186.45,177.5,178.85,178.35
ASTRAMICRO,2021-07-19,174.7,178.45,171.45,173.9,174.65
ASTRAMICRO,2021-07-20,173.0,174.55,167.5,170.5,170.8
ASTRAMICRO,2021-07-20,173.0,174.55,167.5,170.5,170.8
ASTRAMICRO,2021-07-22,173.7,176.1,173.0,174.35,174.85
ASTRAMICRO,2021-07-23,173.6,175.15,169.85,171.5,172.2
ASTRAMICRO,2021-07-26,170.5,178.7,169.35,174.3,174.5
ASTRAMICRO,2021-07-27,173.5,178.0,170.3,171.3,172.15
ASTRAMICRO,2021-07-28,170.95,172.35,167.3,169.25,169.25
