COMPANY_NAME,DATE1,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,LAST_PRICE,CLOSE_PRICE
AVADHSUGAR,2021-07-01,494.35,512.0,470.0,507.0,500.35
AVADHSUGAR,2021-07-02,504.1,526.0,504.0,510.6,510.75
AVADHSUGAR,2021-07-05,514.85,518.6,490.5,492.1,493.35
AVADHSUGAR,2021-07-06,493.1,505.0,466.0,471.55,470.6
AVADHSUGAR,2021-07-07,468.0,469.95,423.55,461.0,457.15
AVADHSUGAR,2021-07-08,460.0,498.4,457.9,478.1,477.85
AVADHSUGAR,2021-07-09,488.8,512.2,485.55,502.5,504.7
AVADHSUGAR,2021-07-12,508.75,514.0,486.95,491.85,493.2
AVADHSUGAR,2021-07-13,497.0,510.0,483.55,498.3,499.05
AVADHSUGAR,2021-07-14,500.0,502.3,487.55,488.0,488.25
AVADHSUGAR,2021-07-15,487.0,499.0,469.75,476.95,476.05
AVADHSUGAR,2021-07-16,479.0,487.65,470.6,472.9,472.5
AVADHSUGAR,2021-07-19,461.0,506.0,461.0,492.0,490.9
AVADHSUGAR,2021-07-20,488.0,493.25,466.05,481.0,479.65
AVADHSUGAR,2021-07-20,488.0,493.25,466.05,481.0,479.65
AVADHSUGAR,2021-07-22,485.0,504.0,484.05,489.5,490.45
AVADHSUGAR,2021-07-23,494.25,499.9,484.1,485.5,485.5
AVADHSUGAR,2021-07-26,489.0,499.9,477.25,480.9,479.95
AVADHSUGAR,2021-07-27,485.5,514.7,484.9,496.0,496.45
AVADHSUGAR,2021-07-28,499.0,505.5,471.5,482.0,482.05
