COMPANY_NAME,DATE1,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,LAST_PRICE,CLOSE_PRICE
AXISHCETF,2021-07-01,87.8,88.4,87.6,87.8,87.86
AXISHCETF,2021-07-02,88.4,88.8,87.65,88.11,88.1
AXISHCETF,2021-07-05,88.4,91.1,88.4,88.93,88.93
AXISHCETF,2021-07-06,89.49,89.49,88.8,89.3,89.1
AXISHCETF,2021-07-07,89.5,91.0,88.5,88.9,88.76
AXISHCETF,2021-07-08,88.6,89.49,88.2,88.3,88.28
AXISHCETF,2021-07-09,88.31,88.35,87.6,88.24,87.87
AXISHCETF,2021-07-12,86.0,89.25,86.0,88.3,88.2
AXISHCETF,2021-07-13,89.0,89.49,88.27,88.7,88.68
AXISHCETF,2021-07-14,89.95,89.95,88.05,88.49,88.28
AXISHCETF,2021-07-15,88.05,88.9,88.0,88.64,88.35
AXISHCETF,2021-07-16,88.7,89.23,87.85,89.0,88.64
AXISHCETF,2021-07-19,91.98,91.98,88.5,88.79,88.53
AXISHCETF,2021-07-20,91.94,91.94,88.05,89.1,89.02
AXISHCETF,2021-07-20,91.94,91.94,88.05,89.1,89.02
AXISHCETF,2021-07-22,89.1,90.0,88.8,89.2,89.19
AXISHCETF,2021-07-23,89.19,89.19,88.55,88.71,88.88
AXISHCETF,2021-07-26,89.6,89.6,88.25,89.49,89.48
AXISHCETF,2021-07-27,88.7,90.0,87.55,88.3,88.48
AXISHCETF,2021-07-28,89.5,89.5,86.98,87.9,87.86
