COMPANY_NAME,DATE1,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,LAST_PRICE,CLOSE_PRICE
BALMLAWRIE,2021-07-01,140.0,140.65,138.4,138.7,138.8
BALMLAWRIE,2021-07-02,139.25,140.7,138.3,138.8,138.8
BALMLAWRIE,2021-07-05,140.5,141.3,139.15,140.0,139.85
BALMLAWRIE,2021-07-06,139.95,142.0,138.65,139.25,139.05
BALMLAWRIE,2021-07-07,139.3,141.7,138.5,139.4,139.55
BALMLAWRIE,2021-07-08,139.5,140.45,137.4,138.5,138.45
BALMLAWRIE,2021-07-09,139.5,139.5,137.8,138.2,138.1
BALMLAWRIE,2021-07-12,138.9,139.75,137.5,137.75,138.0
BALMLAWRIE,2021-07-13,138.35,139.25,138.0,138.2,138.2
BALMLAWRIE,2021-07-14,138.25,139.0,137.5,137.7,137.6
BALMLAWRIE,2021-07-15,137.5,139.9,137.5,138.0,138.05
BALMLAWRIE,2021-07-16,138.75,142.5,138.3,140.1,139.9
BALMLAWRIE,2021-07-19,138.8,143.85,138.3,139.75,139.65
BALMLAWRIE,2021-07-20,140.0,140.6,136.05,136.9,137.0
BALMLAWRIE,2021-07-20,140.0,140.6,136.05,136.9,137.0
BALMLAWRIE,2021-07-22,138.9,139.5,137.0,137.6,137.6
BALMLAWRIE,2021-07-23,138.15,138.6,136.7,137.3,137.05
BALMLAWRIE,2021-07-26,137.6,138.0,136.2,136.9,136.65
BALMLAWRIE,2021-07-27,136.85,137.7,135.1,135.65,135.9
BALMLAWRIE,2021-07-28,136.05,136.5,133.3,134.25,133.9
