COMPANY_NAME,DATE1,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,LAST_PRICE,CLOSE_PRICE
BALRAMCHIN,2021-07-01,359.0,363.85,350.1,359.5,356.3
BALRAMCHIN,2021-07-02,359.2,365.0,353.0,360.0,360.45
BALRAMCHIN,2021-07-05,364.1,364.65,352.0,354.0,354.25
BALRAMCHIN,2021-07-06,355.0,358.7,344.0,347.0,345.4
BALRAMCHIN,2021-07-07,345.0,346.95,333.9,343.1,344.25
BALRAMCHIN,2021-07-08,344.0,353.3,336.1,337.75,339.0
BALRAMCHIN,2021-07-09,345.0,349.9,338.55,342.1,342.65
BALRAMCHIN,2021-07-12,350.0,350.55,342.0,343.95,344.6
BALRAMCHIN,2021-07-13,344.65,358.0,341.3,350.4,350.2
BALRAMCHIN,2021-07-14,351.4,353.0,342.0,344.25,344.85
BALRAMCHIN,2021-07-15,345.0,352.0,343.0,347.0,345.6
BALRAMCHIN,2021-07-16,345.65,347.95,341.6,345.6,345.35
BALRAMCHIN,2021-07-19,343.8,354.4,340.4,346.0,344.6
BALRAMCHIN,2021-07-20,344.0,344.6,327.3,335.95,336.1
BALRAMCHIN,2021-07-20,344.0,344.6,327.3,335.95,336.1
BALRAMCHIN,2021-07-22,339.5,347.5,338.75,341.0,341.4
BALRAMCHIN,2021-07-23,341.8,345.7,336.6,343.8,343.15
BALRAMCHIN,2021-07-26,344.3,348.9,338.8,340.5,340.05
BALRAMCHIN,2021-07-27,343.7,357.95,343.05,350.0,349.9
BALRAMCHIN,2021-07-28,349.0,352.9,341.3,350.0,347.6
