COMPANY_NAME,DATE1,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,LAST_PRICE,CLOSE_PRICE
BANKA,2021-07-01,68.1,68.95,65.05,65.05,65.4
BANKA,2021-07-02,67.95,67.95,64.0,64.8,64.8
BANKA,2021-07-05,67.0,67.0,63.05,63.05,63.8
BANKA,2021-07-06,65.8,65.8,63.05,63.85,63.8
BANKA,2021-07-07,65.95,65.95,63.0,63.0,63.1
BANKA,2021-07-08,63.1,64.75,62.05,64.4,63.75
BANKA,2021-07-09,64.0,64.9,63.75,64.25,64.25
BANKA,2021-07-12,66.0,66.0,63.8,64.0,64.05
BANKA,2021-07-13,64.0,65.95,64.0,65.0,65.05
BANKA,2021-07-14,66.35,66.85,65.15,66.0,65.75
BANKA,2021-07-15,66.75,67.45,64.0,64.25,64.4
BANKA,2021-07-16,64.5,65.0,62.0,63.15,63.55
BANKA,2021-07-19,66.0,66.0,64.0,65.6,65.5
BANKA,2021-07-20,65.55,72.05,65.55,72.05,71.45
BANKA,2021-07-20,65.55,72.05,65.55,72.05,71.45
BANKA,2021-07-22,74.25,78.55,72.25,78.45,77.7
BANKA,2021-07-23,83.85,83.85,78.0,80.4,80.45
BANKA,2021-07-26,82.85,82.85,73.15,74.0,74.5
BANKA,2021-07-27,75.95,76.0,67.65,68.8,68.6
BANKA,2021-07-28,69.75,69.75,63.3,64.45,64.05
