COMPANY_NAME,DATE1,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,LAST_PRICE,CLOSE_PRICE
BERGEPAINT,2021-07-01,810.0,810.0,800.15,807.9,809.0
BERGEPAINT,2021-07-02,809.05,812.2,803.5,808.0,806.9
BERGEPAINT,2021-07-05,807.85,825.0,807.85,814.05,816.55
BERGEPAINT,2021-07-06,809.0,822.8,809.0,814.0,814.1
BERGEPAINT,2021-07-07,814.9,850.0,814.1,847.5,846.15
BERGEPAINT,2021-07-08,852.55,859.8,833.7,841.0,841.65
BERGEPAINT,2021-07-09,843.0,852.55,838.0,842.4,844.1
BERGEPAINT,2021-07-12,845.0,852.4,838.0,840.95,839.65
BERGEPAINT,2021-07-13,848.0,848.0,835.4,840.0,837.65
BERGEPAINT,2021-07-14,839.95,842.25,832.3,840.0,838.7
BERGEPAINT,2021-07-15,841.0,844.0,835.0,839.05,841.15
BERGEPAINT,2021-07-16,841.0,854.0,840.0,844.0,843.85
BERGEPAINT,2021-07-19,842.0,842.0,830.0,838.0,835.3
BERGEPAINT,2021-07-20,842.0,870.0,837.9,860.8,864.95
BERGEPAINT,2021-07-20,842.0,870.0,837.9,860.8,864.95
BERGEPAINT,2021-07-22,872.95,872.95,851.55,854.5,855.7
BERGEPAINT,2021-07-23,855.7,864.0,851.35,854.0,854.25
BERGEPAINT,2021-07-26,850.0,857.95,844.9,851.9,849.75
BERGEPAINT,2021-07-27,851.05,856.0,835.75,843.95,843.6
BERGEPAINT,2021-07-28,843.95,852.0,833.35,851.95,850.35
