COMPANY_NAME,DATE1,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,LAST_PRICE,CLOSE_PRICE
BESTAGRO,2021-07-01,367.0,370.25,363.7,370.25,370.2
BESTAGRO,2021-07-02,388.7,388.7,387.5,388.7,388.7
BESTAGRO,2021-07-05,408.1,408.1,395.3,408.1,408.0
BESTAGRO,2021-07-06,406.0,406.8,387.6,395.4,397.2
BESTAGRO,2021-07-07,390.0,406.4,381.0,395.0,393.6
BESTAGRO,2021-07-08,405.0,413.25,393.05,402.9,401.9
BESTAGRO,2021-07-09,401.9,412.0,400.5,409.0,408.5
BESTAGRO,2021-07-12,412.0,423.8,400.15,420.0,413.4
BESTAGRO,2021-07-13,419.95,434.05,415.0,434.05,434.05
BESTAGRO,2021-07-14,447.0,455.75,439.3,455.75,455.75
BESTAGRO,2021-07-15,458.0,474.8,440.0,455.0,456.85
BESTAGRO,2021-07-16,465.9,470.0,439.0,463.0,459.95
BESTAGRO,2021-07-19,459.3,472.0,443.65,456.0,454.8
BESTAGRO,2021-07-20,450.05,468.0,445.0,459.65,465.25
BESTAGRO,2021-07-20,450.05,468.0,445.0,459.65,465.25
BESTAGRO,2021-07-22,474.6,474.6,452.7,470.0,458.2
BESTAGRO,2021-07-23,451.0,469.2,444.05,466.7,465.7
BESTAGRO,2021-07-26,466.0,485.0,464.85,478.15,479.7
BESTAGRO,2021-07-27,490.0,494.4,478.2,493.6,485.55
BESTAGRO,2021-07-28,495.0,509.8,495.0,509.8,509.8
