COMPANY_NAME,DATE1,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,LAST_PRICE,CLOSE_PRICE
BFUTILITIE,2021-07-01,484.95,485.45,461.5,465.2,464.45
BFUTILITIE,2021-07-02,468.8,486.95,456.05,476.0,474.85
BFUTILITIE,2021-07-05,476.9,502.0,476.9,497.0,498.8
BFUTILITIE,2021-07-06,502.0,512.0,484.25,484.8,487.0
BFUTILITIE,2021-07-07,488.2,495.75,481.2,482.5,483.1
BFUTILITIE,2021-07-08,483.05,499.2,473.3,478.55,479.45
BFUTILITIE,2021-07-09,482.4,492.95,476.4,480.7,481.95
BFUTILITIE,2021-07-12,480.7,494.95,469.0,469.25,471.3
BFUTILITIE,2021-07-13,474.8,483.8,466.3,468.4,468.3
BFUTILITIE,2021-07-14,472.0,480.5,468.0,470.0,471.0
BFUTILITIE,2021-07-15,473.9,486.5,467.0,478.0,481.8
BFUTILITIE,2021-07-16,481.0,519.0,467.25,518.05,504.05
BFUTILITIE,2021-07-19,512.6,539.0,512.6,520.0,521.2
BFUTILITIE,2021-07-20,523.95,524.4,490.3,497.0,499.95
BFUTILITIE,2021-07-20,523.95,524.4,490.3,497.0,499.95
BFUTILITIE,2021-07-22,503.9,516.9,502.0,507.0,504.75
BFUTILITIE,2021-07-23,508.0,511.85,491.75,499.0,499.6
BFUTILITIE,2021-07-26,499.0,507.8,486.4,487.0,489.25
BFUTILITIE,2021-07-27,492.7,498.0,480.25,483.25,485.0
BFUTILITIE,2021-07-28,487.0,487.9,468.7,477.0,479.0
