COMPANY_NAME,DATE1,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,LAST_PRICE,CLOSE_PRICE
BHARATGEAR,2021-07-01,107.1,107.9,90.2,102.05,103.25
BHARATGEAR,2021-07-02,104.9,107.4,102.9,103.0,103.8
BHARATGEAR,2021-07-05,104.6,109.0,102.05,108.0,107.45
BHARATGEAR,2021-07-06,108.4,109.45,99.1,103.8,104.45
BHARATGEAR,2021-07-07,106.85,107.25,103.5,107.0,106.3
BHARATGEAR,2021-07-08,105.6,107.95,103.8,104.0,104.45
BHARATGEAR,2021-07-09,105.0,105.55,101.1,103.0,103.35
BHARATGEAR,2021-07-12,103.05,105.9,102.5,102.75,103.5
BHARATGEAR,2021-07-13,103.7,115.0,103.0,113.9,112.0
BHARATGEAR,2021-07-14,118.75,129.35,117.05,124.0,124.95
BHARATGEAR,2021-07-15,125.0,131.95,121.2,127.65,128.05
BHARATGEAR,2021-07-16,128.0,128.0,121.0,121.85,121.75
BHARATGEAR,2021-07-19,120.05,124.25,118.5,120.25,120.1
BHARATGEAR,2021-07-20,119.05,128.7,116.1,123.25,123.6
BHARATGEAR,2021-07-20,119.05,128.7,116.1,123.25,123.6
BHARATGEAR,2021-07-22,124.0,125.05,120.15,120.5,120.8
BHARATGEAR,2021-07-23,121.0,124.8,118.3,120.5,120.8
BHARATGEAR,2021-07-26,121.7,121.7,113.0,114.0,115.35
BHARATGEAR,2021-07-27,117.7,120.0,114.5,115.95,116.55
BHARATGEAR,2021-07-28,117.9,130.5,115.65,122.0,123.9
