COMPANY_NAME,DATE1,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,LAST_PRICE,CLOSE_PRICE
BHEL,2021-07-01,65.85,65.85,64.65,65.0,64.95
BHEL,2021-07-02,64.5,66.45,64.4,65.95,65.85
BHEL,2021-07-05,66.2,66.55,65.65,65.8,65.95
BHEL,2021-07-06,65.75,66.25,64.25,64.35,64.45
BHEL,2021-07-07,64.75,68.2,63.9,67.95,67.8
BHEL,2021-07-08,68.0,69.0,66.35,66.9,67.05
BHEL,2021-07-09,66.9,67.4,66.05,66.5,66.45
BHEL,2021-07-12,67.1,68.3,65.8,66.4,66.6
BHEL,2021-07-13,67.0,67.1,66.25,66.3,66.4
BHEL,2021-07-14,66.35,67.1,65.55,65.65,65.85
BHEL,2021-07-15,65.85,66.1,64.8,65.0,64.95
BHEL,2021-07-16,65.1,67.0,65.05,66.0,66.25
BHEL,2021-07-19,65.25,65.75,63.8,64.2,64.0
BHEL,2021-07-20,64.35,64.75,62.4,63.1,63.2
BHEL,2021-07-20,64.35,64.75,62.4,63.1,63.2
BHEL,2021-07-22,63.7,64.9,63.7,64.55,64.55
BHEL,2021-07-23,64.65,65.1,63.65,63.9,63.95
BHEL,2021-07-26,63.9,64.0,62.5,63.05,62.7
BHEL,2021-07-27,63.1,63.95,61.25,61.35,61.5
BHEL,2021-07-28,61.6,61.7,58.8,60.15,60.3
