COMPANY_NAME,DATE1,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,LAST_PRICE,CLOSE_PRICE
BIOFILCHEM,2021-07-01,67.55,67.55,65.05,66.95,66.85
BIOFILCHEM,2021-07-02,67.8,67.95,67.0,67.5,67.2
BIOFILCHEM,2021-07-05,67.5,68.65,67.5,68.4,67.85
BIOFILCHEM,2021-07-06,68.05,68.55,67.0,67.4,67.3
BIOFILCHEM,2021-07-07,67.3,69.45,65.85,68.65,68.2
BIOFILCHEM,2021-07-08,69.5,69.5,66.55,67.6,67.3
BIOFILCHEM,2021-07-09,68.0,68.0,66.15,66.9,66.9
BIOFILCHEM,2021-07-12,66.5,67.5,65.5,65.85,66.0
BIOFILCHEM,2021-07-13,66.65,72.6,66.0,72.6,72.6
BIOFILCHEM,2021-07-14,75.45,79.85,74.0,79.85,79.85
BIOFILCHEM,2021-07-15,84.4,87.8,82.45,87.8,87.8
BIOFILCHEM,2021-07-16,92.15,92.15,83.45,83.45,83.45
BIOFILCHEM,2021-07-19,79.3,79.3,79.3,79.3,79.3
BIOFILCHEM,2021-07-20,75.35,75.35,75.35,75.35,75.35
BIOFILCHEM,2021-07-20,75.35,75.35,75.35,75.35,75.35
BIOFILCHEM,2021-07-22,73.05,79.1,71.6,71.6,71.6
BIOFILCHEM,2021-07-23,71.0,74.8,68.6,70.55,70.1
BIOFILCHEM,2021-07-26,72.0,73.4,68.45,71.7,72.0
BIOFILCHEM,2021-07-27,73.25,74.5,70.2,71.75,71.55
BIOFILCHEM,2021-07-28,72.35,72.35,69.0,70.25,70.1
