COMPANY_NAME,DATE1,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,LAST_PRICE,CLOSE_PRICE
BLBLIMITED,2021-07-01,9.35,9.35,8.9,9.1,9.2
BLBLIMITED,2021-07-02,9.3,9.55,8.95,9.15,9.05
BLBLIMITED,2021-07-05,9.3,9.3,8.7,9.0,8.95
BLBLIMITED,2021-07-06,8.8,9.35,8.8,9.35,9.35
BLBLIMITED,2021-07-07,9.55,9.75,9.3,9.6,9.55
BLBLIMITED,2021-07-08,9.75,10.0,9.5,9.7,9.7
BLBLIMITED,2021-07-09,10.0,10.0,9.4,9.5,9.5
BLBLIMITED,2021-07-12,9.55,9.8,9.1,9.2,9.2
BLBLIMITED,2021-07-13,9.4,9.5,9.15,9.45,9.4
BLBLIMITED,2021-07-14,9.65,9.65,9.3,9.35,9.3
BLBLIMITED,2021-07-15,9.5,9.55,9.05,9.3,9.3
BLBLIMITED,2021-07-16,9.4,9.65,9.25,9.45,9.45
BLBLIMITED,2021-07-19,9.55,9.9,9.2,9.9,9.9
BLBLIMITED,2021-07-20,10.3,10.35,9.7,10.35,10.35
BLBLIMITED,2021-07-20,10.3,10.35,9.7,10.35,10.35
BLBLIMITED,2021-07-22,10.5,10.85,10.45,10.85,10.85
BLBLIMITED,2021-07-23,11.35,11.35,11.35,11.35,11.35
BLBLIMITED,2021-07-26,11.9,11.9,10.8,10.95,10.95
BLBLIMITED,2021-07-27,11.3,11.45,10.95,11.45,11.45
BLBLIMITED,2021-07-28,11.85,12.0,11.2,12.0,12.0
