COMPANY_NAME,DATE1,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,LAST_PRICE,CLOSE_PRICE
BRITANNIA,2021-07-01,3640.0,3661.0,3580.65,3596.95,3595.8
BRITANNIA,2021-07-02,3609.0,3609.0,3535.0,3552.0,3545.3
BRITANNIA,2021-07-05,3564.0,3584.5,3512.4,3527.0,3523.55
BRITANNIA,2021-07-06,3526.0,3533.85,3508.65,3520.9,3519.0
BRITANNIA,2021-07-07,3521.0,3542.0,3506.0,3536.95,3521.35
BRITANNIA,2021-07-08,3499.0,3525.9,3473.25,3490.0,3491.4
BRITANNIA,2021-07-09,3491.0,3518.0,3468.0,3479.0,3475.95
BRITANNIA,2021-07-12,3482.2,3500.0,3464.1,3476.0,3470.4
BRITANNIA,2021-07-13,3488.75,3489.45,3465.1,3484.0,3485.5
BRITANNIA,2021-07-14,3474.0,3488.15,3454.15,3487.25,3485.75
BRITANNIA,2021-07-15,3503.0,3503.0,3455.5,3459.95,3460.85
BRITANNIA,2021-07-16,3460.0,3472.7,3437.1,3444.0,3441.0
BRITANNIA,2021-07-19,3440.4,3457.5,3426.1,3450.05,3450.15
BRITANNIA,2021-07-20,3455.0,3466.95,3426.5,3434.9,3433.55
BRITANNIA,2021-07-20,3455.0,3466.95,3426.5,3434.9,3433.55
BRITANNIA,2021-07-22,3449.5,3449.5,3415.0,3424.95,3425.3
BRITANNIA,2021-07-23,3427.0,3452.5,3425.3,3441.8,3439.8
BRITANNIA,2021-07-26,3439.95,3498.0,3431.0,3481.0,3482.0
BRITANNIA,2021-07-27,3496.0,3504.85,3435.15,3451.75,3450.75
BRITANNIA,2021-07-28,3469.0,3469.0,3410.0,3418.0,3424.1
