COMPANY_NAME,DATE1,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,LAST_PRICE,CLOSE_PRICE
BSLNIFTY,2021-07-01,175.59,175.59,173.35,173.9,173.42
BSLNIFTY,2021-07-02,174.99,174.99,173.5,174.23,173.92
BSLNIFTY,2021-07-05,175.79,175.79,173.92,174.87,174.87
BSLNIFTY,2021-07-06,175.99,175.99,174.8,174.8,174.98
BSLNIFTY,2021-07-07,175.99,185.0,172.4,175.38,175.38
BSLNIFTY,2021-07-08,175.6,175.61,173.93,174.4,174.31
BSLNIFTY,2021-07-09,175.49,175.49,173.0,173.64,173.95
BSLNIFTY,2021-07-12,175.0,175.31,173.29,173.58,173.58
BSLNIFTY,2021-07-13,175.29,176.22,174.71,175.02,175.02
BSLNIFTY,2021-07-14,175.02,175.73,174.54,175.69,175.69
BSLNIFTY,2021-07-15,176.99,176.99,173.15,176.09,176.09
BSLNIFTY,2021-07-16,176.07,176.5,175.78,176.18,176.18
BSLNIFTY,2021-07-19,176.0,176.0,172.7,174.5,174.58
BSLNIFTY,2021-07-20,175.79,175.79,172.5,173.77,173.77
BSLNIFTY,2021-07-20,175.79,175.79,172.5,173.77,173.77
BSLNIFTY,2021-07-22,173.31,175.32,173.31,175.04,175.19
BSLNIFTY,2021-07-23,176.0,176.05,174.76,175.09,175.54
BSLNIFTY,2021-07-26,176.99,188.7,172.11,174.76,174.88
BSLNIFTY,2021-07-27,174.76,176.4,172.95,174.49,174.49
BSLNIFTY,2021-07-28,175.99,175.99,172.66,174.02,174.02
