COMPANY_NAME,DATE1,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,LAST_PRICE,CLOSE_PRICE
CADILAHC,2021-07-01,649.1,649.1,633.15,639.4,639.2
CADILAHC,2021-07-02,643.75,644.3,636.8,641.0,639.35
CADILAHC,2021-07-05,643.0,646.2,638.4,645.0,643.95
CADILAHC,2021-07-06,645.75,646.9,635.0,636.1,637.45
CADILAHC,2021-07-07,637.0,639.55,630.55,637.5,638.1
CADILAHC,2021-07-08,638.0,641.0,628.2,631.3,632.65
CADILAHC,2021-07-09,630.05,643.15,629.15,640.8,640.5
CADILAHC,2021-07-12,642.5,647.9,638.6,644.25,645.1
CADILAHC,2021-07-13,648.75,651.9,641.0,644.7,645.6
CADILAHC,2021-07-14,645.0,650.3,642.0,643.2,643.4
CADILAHC,2021-07-15,643.4,645.5,636.0,639.2,640.2
CADILAHC,2021-07-16,639.8,645.9,638.75,644.45,643.85
CADILAHC,2021-07-19,643.85,650.9,637.0,639.1,639.5
CADILAHC,2021-07-20,638.9,638.9,615.0,621.0,622.5
CADILAHC,2021-07-20,638.9,638.9,615.0,621.0,622.5
CADILAHC,2021-07-22,625.75,630.85,616.35,621.95,620.2
CADILAHC,2021-07-23,621.4,622.5,612.0,616.0,615.25
CADILAHC,2021-07-26,615.8,615.8,603.5,608.0,605.55
CADILAHC,2021-07-27,615.0,622.0,591.0,597.5,598.75
CADILAHC,2021-07-28,595.0,597.65,572.85,576.5,577.35
