COMPANY_NAME,DATE1,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,LAST_PRICE,CLOSE_PRICE
CANBK,2021-07-01,152.6,154.95,151.15,154.4,153.6
CANBK,2021-07-02,153.6,155.7,153.15,153.3,153.75
CANBK,2021-07-05,155.0,156.5,153.45,156.3,155.8
CANBK,2021-07-06,155.7,157.0,153.0,153.15,153.5
CANBK,2021-07-07,153.0,155.15,152.45,154.8,154.55
CANBK,2021-07-08,155.0,156.35,150.65,151.95,151.8
CANBK,2021-07-09,150.9,152.3,150.0,151.25,151.2
CANBK,2021-07-12,152.7,153.85,151.0,151.55,151.75
CANBK,2021-07-13,152.75,153.7,151.85,153.45,153.35
CANBK,2021-07-14,152.95,153.8,151.25,151.35,151.6
CANBK,2021-07-15,152.35,152.45,149.3,150.65,150.55
CANBK,2021-07-16,151.9,152.25,150.15,151.1,151.3
CANBK,2021-07-19,150.7,150.7,147.2,148.2,148.15
CANBK,2021-07-20,148.2,148.5,143.55,143.9,144.45
CANBK,2021-07-20,148.2,148.5,143.55,143.9,144.45
CANBK,2021-07-22,145.8,146.5,144.45,144.95,144.9
CANBK,2021-07-23,145.0,146.3,143.85,146.05,146.05
CANBK,2021-07-26,146.2,147.35,145.3,146.75,146.65
CANBK,2021-07-27,147.0,150.6,146.5,148.7,148.8
CANBK,2021-07-28,150.05,150.5,142.1,142.95,143.25
