COMPANY_NAME,DATE1,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,LAST_PRICE,CLOSE_PRICE
CANFINHOME,2021-07-01,523.55,525.85,519.1,520.55,521.1
CANFINHOME,2021-07-02,522.0,525.25,517.1,517.85,518.3
CANFINHOME,2021-07-05,518.5,522.8,515.6,517.85,518.6
CANFINHOME,2021-07-06,518.6,529.65,512.0,512.4,513.15
CANFINHOME,2021-07-07,513.65,517.9,512.1,514.0,514.0
CANFINHOME,2021-07-08,512.0,515.7,508.5,511.75,512.2
CANFINHOME,2021-07-09,513.4,519.55,510.8,513.7,513.9
CANFINHOME,2021-07-12,517.8,522.5,513.2,522.0,521.05
CANFINHOME,2021-07-13,523.4,555.0,521.55,551.9,552.1
CANFINHOME,2021-07-14,552.0,552.3,540.25,550.0,548.85
CANFINHOME,2021-07-15,548.85,549.8,535.25,542.0,542.85
CANFINHOME,2021-07-16,545.0,553.35,536.35,537.4,540.65
CANFINHOME,2021-07-19,534.65,541.9,530.95,535.0,533.1
CANFINHOME,2021-07-20,535.0,535.1,523.15,526.05,527.8
CANFINHOME,2021-07-20,535.0,535.1,523.15,526.05,527.8
CANFINHOME,2021-07-22,532.7,549.4,532.3,544.0,544.15
CANFINHOME,2021-07-23,548.5,553.0,529.15,534.0,532.3
CANFINHOME,2021-07-26,535.1,564.0,534.8,557.95,558.9
CANFINHOME,2021-07-27,560.0,568.75,542.2,550.95,550.45
CANFINHOME,2021-07-28,553.9,565.7,547.0,555.0,554.35
