COMPANY_NAME,DATE1,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,LAST_PRICE,CLOSE_PRICE
CASTROLIND,2021-07-01,143.65,144.4,142.1,142.4,142.25
CASTROLIND,2021-07-02,142.7,144.35,142.3,142.6,142.9
CASTROLIND,2021-07-05,143.45,148.25,143.25,146.0,146.6
CASTROLIND,2021-07-06,147.2,150.0,146.25,147.0,147.4
CASTROLIND,2021-07-07,147.2,148.25,145.7,146.15,146.55
CASTROLIND,2021-07-08,146.7,148.3,144.4,145.75,145.65
CASTROLIND,2021-07-09,145.05,145.6,144.0,144.3,144.3
CASTROLIND,2021-07-12,144.25,145.0,142.0,142.9,142.4
CASTROLIND,2021-07-13,143.2,144.3,142.15,144.2,143.85
CASTROLIND,2021-07-14,144.0,145.0,143.5,144.45,144.35
CASTROLIND,2021-07-15,144.35,144.65,143.0,143.35,143.25
CASTROLIND,2021-07-16,143.5,144.2,142.8,143.35,143.35
CASTROLIND,2021-07-19,143.35,144.1,142.6,143.3,143.45
CASTROLIND,2021-07-20,143.65,143.8,140.55,141.5,141.45
CASTROLIND,2021-07-20,143.65,143.8,140.55,141.5,141.45
CASTROLIND,2021-07-22,142.0,143.2,141.35,142.8,142.75
CASTROLIND,2021-07-23,143.5,144.55,142.8,143.9,143.75
CASTROLIND,2021-07-26,143.95,145.7,142.8,143.15,143.45
CASTROLIND,2021-07-27,143.7,144.45,140.85,141.0,141.5
CASTROLIND,2021-07-28,141.7,141.7,137.7,140.4,140.4
