COMPANY_NAME,DATE1,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,LAST_PRICE,CLOSE_PRICE
CGCL,2021-07-01,536.0,536.0,527.0,532.0,529.3
CGCL,2021-07-02,532.85,533.15,525.0,525.0,525.3
CGCL,2021-07-05,531.2,535.5,519.3,521.7,521.85
CGCL,2021-07-06,527.75,567.8,523.0,526.0,525.45
CGCL,2021-07-07,533.0,533.0,521.85,524.8,526.85
CGCL,2021-07-08,531.8,531.95,520.1,520.1,522.35
CGCL,2021-07-09,520.0,539.1,516.25,534.0,535.65
CGCL,2021-07-12,540.0,546.0,525.0,526.05,531.85
CGCL,2021-07-13,535.95,535.95,526.5,530.0,529.9
CGCL,2021-07-14,532.75,535.45,526.1,531.9,531.85
CGCL,2021-07-15,533.5,535.45,525.0,532.5,530.7
CGCL,2021-07-16,534.0,539.85,526.5,529.7,529.7
CGCL,2021-07-19,528.0,539.95,526.45,526.65,528.95
CGCL,2021-07-20,533.35,533.35,525.0,525.0,525.2
CGCL,2021-07-20,533.35,533.35,525.0,525.0,525.2
CGCL,2021-07-22,530.95,534.0,524.0,524.05,524.25
CGCL,2021-07-23,524.25,531.45,522.15,524.25,524.35
CGCL,2021-07-26,528.95,529.9,520.0,521.55,521.0
CGCL,2021-07-27,526.0,526.0,517.0,524.95,523.6
CGCL,2021-07-28,528.3,528.3,520.7,521.0,521.35
