COMPANY_NAME,DATE1,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,LAST_PRICE,CLOSE_PRICE
CIGNITITEC,2021-07-01,645.35,668.0,634.35,655.0,649.05
CIGNITITEC,2021-07-02,655.15,678.0,650.25,661.0,656.05
CIGNITITEC,2021-07-05,663.2,676.0,637.75,650.0,648.4
CIGNITITEC,2021-07-06,649.3,662.0,608.5,630.0,624.8
CIGNITITEC,2021-07-07,625.0,639.5,612.0,618.0,615.75
CIGNITITEC,2021-07-08,610.0,629.0,605.0,605.0,608.8
CIGNITITEC,2021-07-09,613.0,625.0,600.3,622.0,618.1
CIGNITITEC,2021-07-12,615.0,634.0,615.0,617.0,619.1
CIGNITITEC,2021-07-13,625.2,633.95,616.1,618.3,619.15
CIGNITITEC,2021-07-14,617.0,640.0,617.0,638.0,635.15
CIGNITITEC,2021-07-15,637.85,665.0,635.1,648.85,650.7
CIGNITITEC,2021-07-16,650.9,659.0,642.3,646.0,647.05
CIGNITITEC,2021-07-19,638.8,654.75,635.6,640.15,641.3
CIGNITITEC,2021-07-20,644.0,644.7,611.1,614.5,614.15
CIGNITITEC,2021-07-20,644.0,644.7,611.1,614.5,614.15
CIGNITITEC,2021-07-22,620.35,631.4,609.4,614.75,615.0
CIGNITITEC,2021-07-23,618.9,619.45,600.0,602.0,601.35
CIGNITITEC,2021-07-26,590.25,600.0,575.25,582.5,580.95
CIGNITITEC,2021-07-27,588.7,602.9,576.0,577.25,580.75
CIGNITITEC,2021-07-28,585.0,585.0,552.25,576.0,575.35
