COMPANY_NAME,DATE1,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,LAST_PRICE,CLOSE_PRICE
CIPLA,2021-07-01,977.2,980.0,967.2,979.0,978.1
CIPLA,2021-07-02,981.85,985.8,975.1,978.05,979.2
CIPLA,2021-07-05,979.3,983.85,973.1,975.0,974.7
CIPLA,2021-07-06,975.0,975.0,964.75,969.0,969.1
CIPLA,2021-07-07,968.0,968.95,961.0,965.5,965.2
CIPLA,2021-07-08,965.5,968.0,944.8,951.2,950.65
CIPLA,2021-07-09,952.0,965.6,949.95,960.5,959.8
CIPLA,2021-07-12,960.0,967.95,955.85,959.0,959.85
CIPLA,2021-07-13,962.2,969.85,956.05,965.0,965.65
CIPLA,2021-07-14,961.1,978.4,961.1,975.15,977.15
CIPLA,2021-07-15,979.0,981.0,972.05,973.5,973.6
CIPLA,2021-07-16,973.6,989.9,973.6,975.0,977.15
CIPLA,2021-07-19,972.1,983.6,971.25,974.85,974.0
CIPLA,2021-07-20,972.0,974.1,952.65,955.3,955.15
CIPLA,2021-07-20,972.0,974.1,952.65,955.3,955.15
CIPLA,2021-07-22,958.1,958.95,946.65,950.25,949.9
CIPLA,2021-07-23,952.0,957.7,946.95,948.0,948.0
CIPLA,2021-07-26,948.0,960.0,947.0,951.1,950.55
CIPLA,2021-07-27,952.5,958.5,909.0,917.15,913.1
CIPLA,2021-07-28,921.6,921.6,886.65,894.0,889.9
