COMPANY_NAME,DATE1,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,LAST_PRICE,CLOSE_PRICE
CLSEL,2021-07-01,130.0,130.0,126.0,127.35,126.75
CLSEL,2021-07-02,126.8,129.0,125.25,126.5,127.65
CLSEL,2021-07-05,127.7,146.8,125.5,144.0,143.7
CLSEL,2021-07-06,145.75,150.35,139.0,140.8,140.35
CLSEL,2021-07-07,140.35,149.9,136.05,146.0,145.5
CLSEL,2021-07-08,147.2,147.75,140.0,143.0,142.25
CLSEL,2021-07-09,144.8,144.8,139.0,141.0,140.5
CLSEL,2021-07-12,143.75,144.95,141.0,142.0,142.0
CLSEL,2021-07-13,143.1,155.0,141.55,152.75,151.65
CLSEL,2021-07-14,152.5,153.7,149.0,150.0,150.1
CLSEL,2021-07-15,151.5,152.0,142.0,144.95,145.0
CLSEL,2021-07-16,146.2,152.8,141.95,150.0,149.35
CLSEL,2021-07-19,147.0,152.3,145.15,148.15,147.6
CLSEL,2021-07-20,146.1,149.15,143.55,145.6,144.5
CLSEL,2021-07-20,146.1,149.15,143.55,145.6,144.5
CLSEL,2021-07-22,146.8,147.9,143.0,145.0,144.35
CLSEL,2021-07-23,148.5,148.5,143.9,145.75,145.95
CLSEL,2021-07-26,146.0,151.0,145.55,149.25,149.25
CLSEL,2021-07-27,147.1,150.4,145.65,147.85,147.35
CLSEL,2021-07-28,147.1,147.5,142.0,146.75,145.65
