COMPANY_NAME,DATE1,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,LAST_PRICE,CLOSE_PRICE
COALINDIA,2021-07-01,146.6,147.3,145.5,145.75,145.65
COALINDIA,2021-07-02,147.0,148.65,146.05,147.5,147.65
COALINDIA,2021-07-05,148.0,150.5,147.6,150.5,149.9
COALINDIA,2021-07-06,150.05,150.7,146.9,147.65,147.5
COALINDIA,2021-07-07,147.5,148.75,146.55,147.6,147.55
COALINDIA,2021-07-08,147.0,148.15,145.3,146.45,146.25
COALINDIA,2021-07-09,146.25,147.5,145.65,146.55,146.7
COALINDIA,2021-07-12,146.8,147.85,146.1,146.45,146.4
COALINDIA,2021-07-13,147.0,148.5,146.65,148.15,148.1
COALINDIA,2021-07-14,147.95,149.4,147.25,148.0,148.15
COALINDIA,2021-07-15,148.0,148.4,145.65,147.0,146.7
COALINDIA,2021-07-16,146.75,148.05,145.3,145.8,145.55
COALINDIA,2021-07-19,145.0,146.4,144.0,144.6,144.45
COALINDIA,2021-07-20,144.5,145.05,141.7,142.75,142.9
COALINDIA,2021-07-20,144.5,145.05,141.7,142.75,142.9
COALINDIA,2021-07-22,144.0,145.4,143.25,144.7,144.7
COALINDIA,2021-07-23,144.7,145.0,143.35,144.15,144.1
COALINDIA,2021-07-26,144.0,145.5,143.25,144.2,144.0
COALINDIA,2021-07-27,144.5,145.25,142.1,142.45,142.45
COALINDIA,2021-07-28,143.45,144.3,141.05,144.0,144.05
