COMPANY_NAME,DATE1,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,LAST_PRICE,CLOSE_PRICE
CREST,2021-07-01,102.8,117.0,101.05,109.1,109.85
CREST,2021-07-02,110.45,131.8,110.3,125.9,125.5
CREST,2021-07-05,128.05,142.5,120.25,127.95,128.4
CREST,2021-07-06,130.5,130.5,122.4,123.0,124.8
CREST,2021-07-07,124.9,133.35,122.45,124.0,124.45
CREST,2021-07-08,127.0,146.8,126.0,137.45,136.95
CREST,2021-07-09,137.95,139.15,134.15,135.0,135.15
CREST,2021-07-12,138.0,138.3,130.0,131.25,132.55
CREST,2021-07-13,132.65,137.5,132.65,133.0,133.85
CREST,2021-07-14,132.95,137.5,132.35,134.8,134.65
CREST,2021-07-15,134.9,144.4,132.0,140.0,139.8
CREST,2021-07-16,139.8,141.9,135.65,136.05,136.4
CREST,2021-07-19,136.9,142.2,134.0,135.95,135.9
