COMPANY_NAME,DATE1,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,LAST_PRICE,CLOSE_PRICE
CYBERMEDIA,2021-07-01,10.65,10.9,10.35,10.55,10.55
CYBERMEDIA,2021-07-02,10.85,11.0,10.4,10.55,10.85
CYBERMEDIA,2021-07-05,11.25,11.35,11.05,11.35,11.35
CYBERMEDIA,2021-07-06,11.9,11.9,11.85,11.9,11.9
CYBERMEDIA,2021-07-07,12.45,12.45,12.45,12.45,12.45
CYBERMEDIA,2021-07-08,13.05,13.05,13.05,13.05,13.05
CYBERMEDIA,2021-07-09,13.7,13.7,13.7,13.7,13.7
CYBERMEDIA,2021-07-12,14.35,14.35,13.05,13.05,13.05
CYBERMEDIA,2021-07-13,12.5,13.5,12.45,13.5,13.45
CYBERMEDIA,2021-07-14,13.95,14.0,13.5,13.8,13.8
CYBERMEDIA,2021-07-15,14.0,14.05,13.4,13.95,13.8
CYBERMEDIA,2021-07-16,14.0,14.15,13.15,13.25,13.35
CYBERMEDIA,2021-07-19,13.35,13.35,12.75,12.9,12.9
