COMPANY_NAME,DATE1,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,LAST_PRICE,CLOSE_PRICE
CYBERTECH,2021-07-01,156.8,164.8,154.3,158.35,158.7
CYBERTECH,2021-07-02,159.9,162.7,153.5,161.9,160.7
CYBERTECH,2021-07-05,162.9,174.9,159.0,170.9,171.2
CYBERTECH,2021-07-06,172.8,176.5,161.0,164.0,164.2
CYBERTECH,2021-07-07,165.0,174.7,163.6,169.45,169.25
CYBERTECH,2021-07-08,169.5,177.9,166.0,170.25,168.95
CYBERTECH,2021-07-09,169.0,171.6,166.0,166.6,166.7
CYBERTECH,2021-07-12,168.2,169.3,160.0,161.55,161.25
CYBERTECH,2021-07-13,162.7,167.5,162.0,164.95,165.2
CYBERTECH,2021-07-14,165.2,170.9,162.75,167.95,168.3
CYBERTECH,2021-07-15,169.25,194.35,168.75,187.1,188.6
CYBERTECH,2021-07-16,188.5,207.7,184.25,196.0,195.65
CYBERTECH,2021-07-19,193.8,207.0,190.75,199.0,200.0
CYBERTECH,2021-07-20,200.0,203.45,186.1,192.0,193.2
CYBERTECH,2021-07-20,200.0,203.45,186.1,192.0,193.2
CYBERTECH,2021-07-22,193.9,208.4,193.9,200.75,201.75
CYBERTECH,2021-07-23,202.8,204.65,189.0,192.65,192.05
CYBERTECH,2021-07-26,192.0,196.95,186.8,188.05,189.1
CYBERTECH,2021-07-27,188.8,198.45,185.05,187.95,187.65
CYBERTECH,2021-07-28,187.65,189.4,180.4,186.0,185.45
