COMPANY_NAME,DATE1,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,LAST_PRICE,CLOSE_PRICE
DALMIASUG,2021-07-01,470.0,477.55,458.15,472.5,470.85
DALMIASUG,2021-07-02,473.8,486.85,470.85,477.0,478.25
DALMIASUG,2021-07-05,482.85,484.1,462.0,470.0,468.0
DALMIASUG,2021-07-06,470.6,475.0,445.05,453.4,450.85
DALMIASUG,2021-07-07,453.0,453.55,437.0,441.2,441.0
DALMIASUG,2021-07-08,444.0,467.4,440.4,451.6,452.0
DALMIASUG,2021-07-09,465.0,476.0,457.0,468.5,468.45
DALMIASUG,2021-07-12,474.4,476.7,462.0,462.9,463.45
DALMIASUG,2021-07-13,464.0,494.8,464.0,485.0,482.4
DALMIASUG,2021-07-14,484.5,485.0,474.0,477.0,475.85
DALMIASUG,2021-07-15,477.0,481.6,463.0,467.05,465.25
DALMIASUG,2021-07-16,468.8,468.8,452.95,456.85,455.25
DALMIASUG,2021-07-19,456.25,475.0,454.0,463.0,460.05
DALMIASUG,2021-07-20,460.0,461.45,442.0,452.0,450.65
DALMIASUG,2021-07-20,460.0,461.45,442.0,452.0,450.65
DALMIASUG,2021-07-22,454.0,477.5,454.0,459.7,459.45
DALMIASUG,2021-07-23,461.0,472.4,455.15,459.3,458.65
DALMIASUG,2021-07-26,459.4,468.9,457.6,462.0,461.45
DALMIASUG,2021-07-27,465.1,489.0,456.2,464.6,462.75
DALMIASUG,2021-07-28,465.85,469.25,457.1,464.4,461.95
