COMPANY_NAME,DATE1,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,LAST_PRICE,CLOSE_PRICE
DBREALTY,2021-07-01,24.6,25.45,24.3,24.85,24.6
DBREALTY,2021-07-02,25.0,25.0,24.3,24.3,24.4
DBREALTY,2021-07-05,24.4,25.2,24.35,24.9,24.9
DBREALTY,2021-07-06,25.95,25.95,24.5,24.9,24.75
DBREALTY,2021-07-07,24.9,25.6,23.9,25.2,25.05
DBREALTY,2021-07-08,25.3,25.7,24.55,25.3,25.15
DBREALTY,2021-07-09,25.5,26.4,24.55,25.8,25.6
DBREALTY,2021-07-12,26.5,26.85,25.8,26.85,26.85
DBREALTY,2021-07-13,28.0,28.15,27.2,28.15,28.15
DBREALTY,2021-07-14,29.55,29.55,28.5,29.55,29.55
DBREALTY,2021-07-15,31.0,31.0,28.1,28.85,29.6
DBREALTY,2021-07-16,29.0,31.0,28.65,30.15,30.35
DBREALTY,2021-07-19,30.0,31.55,28.95,29.1,29.2
DBREALTY,2021-07-20,29.8,29.8,27.75,27.75,27.75
DBREALTY,2021-07-20,29.8,29.8,27.75,27.75,27.75
DBREALTY,2021-07-22,28.2,28.95,27.5,28.5,28.4
DBREALTY,2021-07-23,28.65,29.0,27.0,27.0,27.05
DBREALTY,2021-07-26,26.2,28.0,26.2,27.4,27.35
DBREALTY,2021-07-27,28.0,28.0,26.4,27.0,26.9
DBREALTY,2021-07-28,27.45,27.5,25.65,25.95,25.9
