COMPANY_NAME,DATE1,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,LAST_PRICE,CLOSE_PRICE
DCW,2021-07-01,40.25,40.3,39.15,39.35,39.3
DCW,2021-07-02,39.6,40.6,39.5,39.9,39.8
DCW,2021-07-05,40.15,41.35,39.7,40.05,40.0
DCW,2021-07-06,40.0,41.5,38.5,41.2,40.85
DCW,2021-07-07,41.15,43.0,40.0,42.95,42.3
DCW,2021-07-08,43.2,44.4,41.75,42.75,43.05
DCW,2021-07-09,43.1,44.9,42.6,43.3,43.45
DCW,2021-07-12,43.9,44.25,42.35,42.5,42.65
DCW,2021-07-13,42.9,43.1,41.3,41.6,41.5
DCW,2021-07-14,41.75,42.7,41.35,41.55,41.5
DCW,2021-07-15,41.7,42.15,40.2,40.7,40.45
DCW,2021-07-16,40.7,41.65,40.5,40.8,40.75
DCW,2021-07-19,40.55,40.55,39.45,39.7,39.8
DCW,2021-07-20,39.8,39.95,37.7,38.55,38.5
DCW,2021-07-20,39.8,39.95,37.7,38.55,38.5
DCW,2021-07-22,38.8,39.6,38.8,39.2,39.05
DCW,2021-07-23,39.2,39.4,38.1,38.3,38.25
DCW,2021-07-26,38.3,41.5,38.3,40.95,41.05
DCW,2021-07-27,41.6,41.85,40.05,40.05,40.4
DCW,2021-07-28,40.3,40.35,38.25,38.75,38.8
