COMPANY_NAME,DATE1,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,LAST_PRICE,CLOSE_PRICE
DEEPENR,2021-07-01,44.3,44.3,43.1,43.45,43.4
DEEPENR,2021-07-02,43.95,44.0,42.85,44.0,43.5
DEEPENR,2021-07-05,43.5,44.75,43.0,43.45,43.55
DEEPENR,2021-07-06,44.0,52.25,43.5,52.25,52.05
DEEPENR,2021-07-07,52.5,59.5,49.15,54.5,54.35
DEEPENR,2021-07-08,54.75,54.85,51.95,52.1,52.65
DEEPENR,2021-07-09,52.6,57.0,51.85,56.2,55.85
DEEPENR,2021-07-12,57.4,59.0,54.9,57.5,57.6
DEEPENR,2021-07-13,57.9,59.7,56.25,57.2,56.8
DEEPENR,2021-07-14,56.9,62.7,56.5,60.15,60.05
DEEPENR,2021-07-15,60.15,62.45,58.5,59.85,59.25
DEEPENR,2021-07-16,59.75,59.75,54.6,55.9,55.85
DEEPENR,2021-07-19,55.9,58.3,54.65,55.6,55.75
