COMPANY_NAME,DATE1,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,LAST_PRICE,CLOSE_PRICE
DENORA,2021-07-01,336.95,344.0,331.4,339.9,336.8
DENORA,2021-07-02,336.8,352.0,334.95,345.4,343.65
DENORA,2021-07-05,353.0,353.0,338.55,343.95,342.9
DENORA,2021-07-06,342.75,411.45,342.75,411.45,410.5
DENORA,2021-07-07,415.0,424.45,385.05,397.95,396.55
DENORA,2021-07-08,399.75,408.0,353.05,373.0,371.85
DENORA,2021-07-09,377.0,388.0,361.6,382.5,380.05
DENORA,2021-07-12,384.4,387.3,370.0,370.75,372.0
DENORA,2021-07-13,377.4,377.4,368.0,373.7,370.7
DENORA,2021-07-14,373.0,389.9,371.15,375.0,375.05
DENORA,2021-07-15,377.0,388.65,373.2,376.4,375.25
DENORA,2021-07-16,375.0,384.8,369.9,376.0,374.45
DENORA,2021-07-19,365.25,376.0,365.25,369.0,368.55
DENORA,2021-07-20,367.9,376.0,357.15,359.95,362.6
DENORA,2021-07-20,367.9,376.0,357.15,359.95,362.6
DENORA,2021-07-22,363.0,373.7,363.0,365.55,365.8
DENORA,2021-07-23,371.0,374.4,361.5,362.15,363.75
DENORA,2021-07-26,367.0,367.0,355.05,356.7,356.9
DENORA,2021-07-27,360.0,368.85,354.1,355.4,355.25
DENORA,2021-07-28,359.9,360.0,347.5,360.0,354.25
