COMPANY_NAME,DATE1,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,LAST_PRICE,CLOSE_PRICE
DISHTV,2021-07-01,13.35,14.15,12.9,13.7,13.7
DISHTV,2021-07-02,13.85,13.9,13.4,13.5,13.5
DISHTV,2021-07-05,13.55,14.4,13.45,14.0,14.0
DISHTV,2021-07-06,14.0,14.65,13.95,14.05,14.0
DISHTV,2021-07-07,14.0,14.15,13.85,14.1,13.95
DISHTV,2021-07-08,14.0,14.55,13.9,14.05,14.05
DISHTV,2021-07-09,14.1,15.55,13.9,15.2,15.2
DISHTV,2021-07-12,15.45,15.45,14.85,14.9,15.0
DISHTV,2021-07-13,15.1,15.25,14.8,14.9,14.9
DISHTV,2021-07-14,14.95,15.15,14.3,14.4,14.35
DISHTV,2021-07-15,14.4,14.8,14.05,14.6,14.55
DISHTV,2021-07-16,14.65,14.7,14.3,14.45,14.35
DISHTV,2021-07-19,14.2,14.95,14.15,14.45,14.45
DISHTV,2021-07-20,14.6,14.6,13.7,14.0,13.95
DISHTV,2021-07-20,14.6,14.6,13.7,14.0,13.95
DISHTV,2021-07-22,14.0,14.3,13.95,14.05,14.05
DISHTV,2021-07-23,14.1,14.15,13.8,13.8,13.85
DISHTV,2021-07-26,13.65,14.4,13.65,14.35,14.3
DISHTV,2021-07-27,14.35,14.65,14.1,14.25,14.2
DISHTV,2021-07-28,14.2,14.3,13.75,14.15,14.15
