COMPANY_NAME,DATE1,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,LAST_PRICE,CLOSE_PRICE
DIVISLAB,2021-07-01,4417.0,4453.9,4412.85,4435.3,4435.7
DIVISLAB,2021-07-02,4435.7,4530.1,4431.0,4526.0,4519.65
DIVISLAB,2021-07-05,4534.0,4583.05,4517.25,4572.2,4559.95
DIVISLAB,2021-07-06,4565.0,4582.0,4512.1,4536.95,4524.2
DIVISLAB,2021-07-07,4500.0,4566.05,4485.0,4551.0,4552.55
DIVISLAB,2021-07-08,4533.0,4560.0,4500.0,4509.0,4510.5
DIVISLAB,2021-07-09,4515.0,4625.0,4510.8,4605.0,4599.7
DIVISLAB,2021-07-12,4610.0,4623.95,4575.65,4594.2,4588.75
DIVISLAB,2021-07-13,4600.0,4618.75,4566.9,4603.95,4606.05
DIVISLAB,2021-07-14,4609.5,4661.65,4585.15,4620.0,4623.2
DIVISLAB,2021-07-15,4626.0,4652.4,4597.9,4617.95,4607.3
DIVISLAB,2021-07-16,4625.0,4772.0,4620.0,4766.55,4757.6
DIVISLAB,2021-07-19,4749.95,4832.7,4735.55,4805.0,4807.45
DIVISLAB,2021-07-20,4807.0,4848.0,4763.0,4798.85,4787.85
DIVISLAB,2021-07-20,4807.0,4848.0,4763.0,4798.85,4787.85
DIVISLAB,2021-07-22,4787.85,4856.4,4769.4,4843.3,4843.25
DIVISLAB,2021-07-23,4843.45,4850.0,4801.7,4823.15,4824.75
DIVISLAB,2021-07-26,4824.75,4940.65,4824.75,4914.9,4921.15
DIVISLAB,2021-07-27,4930.0,4944.75,4669.4,4800.0,4791.4
DIVISLAB,2021-07-28,4802.6,4913.95,4768.25,4889.8,4890.6
