COMPANY_NAME,DATE1,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,LAST_PRICE,CLOSE_PRICE
DTIL,2021-07-01,472.0,472.0,461.25,469.45,465.65
DTIL,2021-07-02,465.65,469.55,461.25,462.5,463.0
DTIL,2021-07-05,469.0,491.7,465.05,481.55,482.2
DTIL,2021-07-06,488.85,488.85,475.6,478.4,477.85
DTIL,2021-07-07,478.4,483.9,470.0,478.0,477.25
DTIL,2021-07-08,471.45,486.0,471.45,477.8,477.35
DTIL,2021-07-09,484.0,484.8,475.6,480.0,480.15
DTIL,2021-07-12,485.0,487.45,480.0,480.95,481.1
DTIL,2021-07-13,488.0,529.0,484.0,524.7,524.4
DTIL,2021-07-14,533.0,544.75,527.0,531.85,531.65
DTIL,2021-07-15,537.4,537.4,508.0,515.7,512.6
DTIL,2021-07-16,521.7,521.7,508.1,508.1,510.05
DTIL,2021-07-19,508.1,535.15,504.1,523.0,519.55
DTIL,2021-07-20,519.55,521.5,510.0,514.0,513.9
DTIL,2021-07-20,519.55,521.5,510.0,514.0,513.9
DTIL,2021-07-22,514.9,528.85,514.0,517.9,517.3
DTIL,2021-07-23,516.25,534.75,515.0,521.0,520.95
DTIL,2021-07-26,528.9,535.9,524.05,534.85,533.6
DTIL,2021-07-27,533.5,555.1,530.45,544.0,544.3
DTIL,2021-07-28,546.95,550.75,506.1,515.0,514.15
