COMPANY_NAME,DATE1,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,LAST_PRICE,CLOSE_PRICE
EBBETF0430,2021-07-01,1160.94,1160.99,1159.15,1159.82,1160.43
EBBETF0430,2021-07-02,1158.0,1159.99,1155.0,1159.49,1159.48
EBBETF0430,2021-07-05,1165.0,1175.0,1155.08,1158.66,1158.75
EBBETF0430,2021-07-06,1160.49,1160.49,1155.58,1160.19,1160.22
EBBETF0430,2021-07-07,1158.49,1158.49,1153.58,1157.49,1156.95
EBBETF0430,2021-07-08,1155.95,1159.99,1154.11,1158.0,1158.4
EBBETF0430,2021-07-09,1158.0,1160.99,1158.0,1159.99,1159.84
EBBETF0430,2021-07-12,1162.0,1162.0,1158.65,1160.94,1160.51
EBBETF0430,2021-07-13,1158.0,1158.49,1157.0,1157.99,1157.32
EBBETF0430,2021-07-14,1157.85,1159.4,1155.0,1158.69,1158.38
EBBETF0430,2021-07-15,1166.18,1200.0,1158.69,1161.49,1159.25
EBBETF0430,2021-07-16,1166.18,1166.19,1157.09,1160.85,1160.32
EBBETF0430,2021-07-19,1166.18,1166.18,1157.04,1160.0,1159.15
EBBETF0430,2021-07-20,1166.18,1166.18,1157.05,1161.93,1158.95
EBBETF0430,2021-07-20,1166.18,1166.18,1157.05,1161.93,1158.95
EBBETF0430,2021-07-22,1166.18,1166.18,1157.12,1160.0,1159.17
EBBETF0430,2021-07-23,1160.0,1160.0,1157.04,1159.84,1159.5
EBBETF0430,2021-07-26,1160.9,1162.99,1157.0,1158.4,1157.35
EBBETF0430,2021-07-27,1157.38,1160.48,1157.38,1159.87,1158.71
EBBETF0430,2021-07-28,1159.95,1162.5,1157.65,1161.0,1161.15
