COMPANY_NAME,DATE1,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,LAST_PRICE,CLOSE_PRICE
EIDPARRY,2021-07-01,425.0,434.3,413.0,414.5,415.0
EIDPARRY,2021-07-02,415.0,423.95,414.5,416.45,417.0
EIDPARRY,2021-07-05,418.25,428.15,418.2,419.6,420.0
EIDPARRY,2021-07-06,420.05,426.4,414.25,417.0,415.9
EIDPARRY,2021-07-07,417.05,421.0,415.3,416.75,416.9
EIDPARRY,2021-07-08,416.0,428.0,409.25,410.85,410.15
EIDPARRY,2021-07-09,412.1,417.7,409.5,414.0,414.7
EIDPARRY,2021-07-12,418.0,422.35,410.55,412.0,412.35
EIDPARRY,2021-07-13,414.65,418.45,409.0,410.1,409.1
EIDPARRY,2021-07-14,411.55,413.0,405.25,406.5,406.45
EIDPARRY,2021-07-15,408.0,409.9,403.55,406.5,404.7
EIDPARRY,2021-07-16,406.3,417.5,403.55,415.4,416.0
EIDPARRY,2021-07-19,414.95,424.0,411.15,418.55,418.2
EIDPARRY,2021-07-20,418.55,421.2,405.05,409.0,409.95
EIDPARRY,2021-07-20,418.55,421.2,405.05,409.0,409.95
EIDPARRY,2021-07-22,412.0,418.0,411.8,413.0,413.15
EIDPARRY,2021-07-23,414.4,417.3,411.5,413.0,412.3
EIDPARRY,2021-07-26,415.0,428.0,415.0,425.9,425.95
EIDPARRY,2021-07-27,431.0,439.65,429.0,436.2,435.3
EIDPARRY,2021-07-28,438.5,440.55,425.6,430.7,430.7
