COMPANY_NAME,DATE1,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,LAST_PRICE,CLOSE_PRICE
EMAMILTD,2021-07-01,562.55,574.0,550.3,563.0,561.5
EMAMILTD,2021-07-02,567.0,568.5,557.35,564.0,563.6
EMAMILTD,2021-07-05,558.0,563.55,553.55,560.35,559.3
EMAMILTD,2021-07-06,563.0,565.0,548.05,549.0,550.4
EMAMILTD,2021-07-07,551.5,565.0,547.1,552.6,552.35
EMAMILTD,2021-07-08,554.5,571.15,542.05,551.95,549.1
EMAMILTD,2021-07-09,551.65,570.0,550.0,569.0,565.5
EMAMILTD,2021-07-12,572.55,578.0,568.0,575.0,576.8
EMAMILTD,2021-07-13,578.2,578.5,559.0,565.9,564.6
EMAMILTD,2021-07-14,566.9,574.0,557.15,573.5,572.1
EMAMILTD,2021-07-15,569.9,575.65,565.45,567.95,568.45
EMAMILTD,2021-07-16,570.0,572.25,553.7,559.95,558.65
EMAMILTD,2021-07-19,550.0,557.35,532.25,540.2,542.2
EMAMILTD,2021-07-20,541.9,547.0,531.0,532.85,534.3
EMAMILTD,2021-07-20,541.9,547.0,531.0,532.85,534.3
EMAMILTD,2021-07-22,535.5,551.9,535.5,547.95,548.1
EMAMILTD,2021-07-23,552.0,559.45,548.1,550.4,549.95
EMAMILTD,2021-07-26,552.0,563.9,552.0,559.0,559.6
EMAMILTD,2021-07-27,562.5,565.0,553.15,555.0,555.8
EMAMILTD,2021-07-28,556.0,560.0,550.4,558.5,555.3
