COMPANY_NAME,DATE1,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,LAST_PRICE,CLOSE_PRICE
EMAMIPAP,2021-07-01,160.0,163.0,154.05,155.6,155.4
EMAMIPAP,2021-07-02,160.85,160.85,146.1,153.25,154.15
EMAMIPAP,2021-07-05,159.0,164.9,156.9,163.5,163.25
EMAMIPAP,2021-07-06,164.05,164.4,157.0,157.5,157.85
EMAMIPAP,2021-07-07,164.5,189.4,164.0,189.4,189.4
EMAMIPAP,2021-07-08,196.4,214.8,195.3,197.65,199.7
EMAMIPAP,2021-07-09,197.7,203.9,192.85,195.0,194.35
EMAMIPAP,2021-07-12,195.0,196.2,186.35,186.5,187.25
EMAMIPAP,2021-07-13,187.9,189.65,178.0,178.8,179.1
EMAMIPAP,2021-07-14,180.8,184.0,178.1,178.1,179.65
EMAMIPAP,2021-07-15,180.05,180.25,169.2,170.0,169.7
EMAMIPAP,2021-07-16,173.95,174.4,169.0,170.0,169.8
EMAMIPAP,2021-07-19,169.0,170.75,160.0,164.95,164.75
EMAMIPAP,2021-07-20,166.0,166.0,158.4,159.45,159.35
EMAMIPAP,2021-07-20,166.0,166.0,158.4,159.45,159.35
EMAMIPAP,2021-07-22,161.9,175.5,159.15,164.5,164.2
EMAMIPAP,2021-07-23,166.0,166.0,159.4,160.0,160.15
EMAMIPAP,2021-07-26,160.0,162.75,157.05,160.0,159.5
EMAMIPAP,2021-07-27,162.1,163.95,159.0,159.3,159.95
EMAMIPAP,2021-07-28,161.95,173.2,159.2,172.0,169.0
