COMPANY_NAME,DATE1,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,LAST_PRICE,CLOSE_PRICE
EMMBI,2021-07-01,103.25,103.45,99.2,100.0,99.95
EMMBI,2021-07-02,101.95,101.95,98.1,98.8,98.9
EMMBI,2021-07-05,97.6,100.5,97.6,100.5,99.85
EMMBI,2021-07-06,106.0,107.85,102.1,103.0,102.95
EMMBI,2021-07-07,104.25,105.0,101.5,103.1,103.4
EMMBI,2021-07-08,104.5,104.5,100.05,101.3,101.45
EMMBI,2021-07-09,103.3,103.3,100.15,101.7,101.75
EMMBI,2021-07-12,104.55,104.55,101.0,101.0,101.2
EMMBI,2021-07-13,101.35,102.25,99.55,100.25,99.9
EMMBI,2021-07-14,101.95,101.95,99.1,100.0,100.05
EMMBI,2021-07-15,100.55,118.65,100.55,116.8,116.7
EMMBI,2021-07-16,118.0,118.4,106.25,107.15,107.3
EMMBI,2021-07-19,106.5,125.55,106.2,117.75,116.5
EMMBI,2021-07-20,118.4,123.6,113.55,118.85,117.95
EMMBI,2021-07-20,118.4,123.6,113.55,118.85,117.95
EMMBI,2021-07-22,119.4,120.9,115.75,118.2,117.95
EMMBI,2021-07-23,118.85,125.0,113.6,120.1,120.95
EMMBI,2021-07-26,125.0,125.9,118.55,119.1,119.65
EMMBI,2021-07-27,120.4,122.8,116.35,119.0,118.85
EMMBI,2021-07-28,119.8,120.9,112.85,114.3,114.6
