COMPANY_NAME,DATE1,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,LAST_PRICE,CLOSE_PRICE
ENERGYDEV,2021-07-01,13.5,13.5,12.85,12.85,12.85
ENERGYDEV,2021-07-02,12.3,12.85,12.25,12.25,12.25
ENERGYDEV,2021-07-05,11.7,12.3,11.7,12.1,12.0
ENERGYDEV,2021-07-06,12.0,12.6,11.7,12.35,12.35
ENERGYDEV,2021-07-07,12.35,12.55,11.9,11.9,11.95
ENERGYDEV,2021-07-08,11.95,12.35,11.85,12.15,12.05
ENERGYDEV,2021-07-09,12.05,12.65,12.05,12.65,12.55
ENERGYDEV,2021-07-12,12.85,12.9,11.95,12.15,12.15
ENERGYDEV,2021-07-13,12.4,12.4,11.7,11.85,11.8
ENERGYDEV,2021-07-14,11.8,12.35,11.25,12.35,12.35
ENERGYDEV,2021-07-15,12.9,12.9,11.8,12.15,12.1
ENERGYDEV,2021-07-16,12.35,12.4,11.75,12.0,11.95
ENERGYDEV,2021-07-19,11.95,12.0,11.65,11.9,11.85
ENERGYDEV,2021-07-20,12.15,12.2,11.6,11.85,11.75
ENERGYDEV,2021-07-20,12.15,12.2,11.6,11.85,11.75
ENERGYDEV,2021-07-22,11.8,12.1,11.45,11.95,11.8
ENERGYDEV,2021-07-23,12.0,12.2,11.8,12.0,11.95
ENERGYDEV,2021-07-26,12.2,12.2,11.45,11.95,11.85
ENERGYDEV,2021-07-27,12.0,12.15,11.6,11.75,11.6
ENERGYDEV,2021-07-28,12.05,12.05,11.15,11.2,11.25
