COMPANY_NAME,DATE1,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,LAST_PRICE,CLOSE_PRICE
EPL,2021-07-01,282.3,284.05,276.0,279.5,278.95
EPL,2021-07-02,279.5,281.0,270.95,280.9,277.9
EPL,2021-07-05,291.0,291.0,278.3,280.0,279.85
EPL,2021-07-06,280.0,281.85,275.0,277.95,278.45
EPL,2021-07-07,279.35,279.35,274.55,275.0,275.15
EPL,2021-07-08,274.05,275.95,268.0,270.0,270.25
EPL,2021-07-09,268.0,269.2,264.05,266.5,266.25
EPL,2021-07-12,267.6,273.6,262.6,266.9,265.3
EPL,2021-07-13,268.95,268.95,260.0,262.0,263.0
EPL,2021-07-14,263.0,265.9,259.1,260.0,259.95
EPL,2021-07-15,260.1,261.95,254.75,257.4,256.25
EPL,2021-07-16,259.95,259.95,246.05,246.45,246.9
EPL,2021-07-19,246.0,255.95,244.0,245.75,246.65
EPL,2021-07-20,247.9,248.0,236.2,239.0,237.85
EPL,2021-07-20,247.9,248.0,236.2,239.0,237.85
EPL,2021-07-22,244.25,253.0,240.25,250.0,250.7
EPL,2021-07-23,254.0,254.0,244.4,245.0,244.9
EPL,2021-07-26,245.9,248.35,241.75,242.3,242.9
EPL,2021-07-27,241.2,243.5,232.55,235.15,236.05
EPL,2021-07-28,236.05,245.0,232.55,234.0,233.55
