COMPANY_NAME,DATE1,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,LAST_PRICE,CLOSE_PRICE
FCONSUMER,2021-07-01,9.9,9.9,9.55,9.65,9.6
FCONSUMER,2021-07-02,9.7,10.1,9.55,9.75,9.8
FCONSUMER,2021-07-05,9.9,9.9,9.6,9.65,9.6
FCONSUMER,2021-07-06,9.6,9.85,9.4,9.5,9.45
FCONSUMER,2021-07-07,9.5,9.5,9.3,9.35,9.35
FCONSUMER,2021-07-08,9.3,9.7,9.1,9.15,9.15
FCONSUMER,2021-07-09,9.1,9.5,9.1,9.35,9.25
FCONSUMER,2021-07-12,9.3,9.95,9.3,9.5,9.45
FCONSUMER,2021-07-13,9.5,9.55,9.25,9.3,9.3
FCONSUMER,2021-07-14,9.35,9.4,9.15,9.2,9.2
FCONSUMER,2021-07-15,9.25,9.4,9.1,9.1,9.1
FCONSUMER,2021-07-16,9.15,9.25,9.05,9.15,9.1
FCONSUMER,2021-07-19,9.1,9.25,9.0,9.1,9.1
FCONSUMER,2021-07-20,9.1,9.2,8.9,8.95,8.95
FCONSUMER,2021-07-20,9.1,9.2,8.9,8.95,8.95
FCONSUMER,2021-07-22,9.0,9.3,8.75,9.0,9.05
FCONSUMER,2021-07-23,9.05,9.2,8.8,8.85,8.85
FCONSUMER,2021-07-26,8.7,8.95,8.65,8.7,8.7
FCONSUMER,2021-07-27,8.7,8.8,8.2,8.3,8.25
FCONSUMER,2021-07-28,8.25,8.4,7.7,8.0,8.0
