COMPANY_NAME,DATE1,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,LAST_PRICE,CLOSE_PRICE
FINEORG,2021-07-01,2922.95,2922.95,2881.25,2892.0,2888.85
FINEORG,2021-07-02,2921.9,2957.0,2890.0,2948.05,2947.3
FINEORG,2021-07-05,2984.5,3107.0,2958.1,3081.0,3089.45
FINEORG,2021-07-06,3105.0,3133.0,3040.0,3080.0,3054.8
FINEORG,2021-07-07,3054.8,3128.75,3026.75,3091.0,3094.5
FINEORG,2021-07-08,3090.0,3117.25,3021.25,3042.0,3046.15
FINEORG,2021-07-09,3056.0,3063.95,3021.0,3029.9,3027.65
FINEORG,2021-07-12,3059.0,3090.0,3020.0,3042.65,3045.4
FINEORG,2021-07-13,3045.0,3059.9,3015.0,3020.0,3025.55
FINEORG,2021-07-14,3020.0,3053.1,3000.5,3005.0,3013.35
FINEORG,2021-07-15,3050.0,3050.0,3000.0,3011.0,3015.05
FINEORG,2021-07-16,3000.0,3030.15,2982.0,2992.2,2996.4
FINEORG,2021-07-19,2998.0,3016.95,2905.55,2934.0,2919.7
FINEORG,2021-07-20,2925.0,3029.75,2881.05,2925.0,2941.75
FINEORG,2021-07-20,2925.0,3029.75,2881.05,2925.0,2941.75
FINEORG,2021-07-22,2956.5,2966.0,2911.05,2930.0,2924.9
FINEORG,2021-07-23,2940.0,3005.0,2905.0,2963.0,2970.05
FINEORG,2021-07-26,2970.0,3030.35,2944.55,2983.0,2974.45
FINEORG,2021-07-27,3019.95,3019.95,2927.45,2952.0,2950.35
FINEORG,2021-07-28,2960.0,3015.0,2889.95,2946.95,2950.5
