COMPANY_NAME,DATE1,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,LAST_PRICE,CLOSE_PRICE
FLFL,2021-07-01,77.5,77.5,74.5,75.1,74.95
FLFL,2021-07-02,75.1,76.95,73.7,75.25,75.25
FLFL,2021-07-05,75.95,76.0,74.0,74.5,74.65
FLFL,2021-07-06,74.8,76.35,74.0,74.05,74.25
FLFL,2021-07-07,74.0,75.3,71.75,72.7,72.6
FLFL,2021-07-08,72.65,75.4,71.75,72.95,72.4
FLFL,2021-07-09,74.3,74.3,71.75,73.6,73.1
FLFL,2021-07-12,75.0,76.75,73.5,76.75,76.65
FLFL,2021-07-13,76.65,77.2,73.8,74.35,74.1
FLFL,2021-07-14,74.7,75.5,73.1,73.9,73.5
FLFL,2021-07-15,77.0,77.0,71.55,72.5,72.85
FLFL,2021-07-16,71.75,73.3,71.75,72.55,72.2
FLFL,2021-07-19,72.7,74.6,72.0,72.4,72.25
FLFL,2021-07-20,72.25,73.25,69.3,69.9,69.85
FLFL,2021-07-20,72.25,73.25,69.3,69.9,69.85
FLFL,2021-07-22,68.5,72.85,68.05,71.95,72.1
FLFL,2021-07-23,73.3,73.75,70.3,71.8,72.1
FLFL,2021-07-26,72.8,72.8,70.65,71.65,71.2
FLFL,2021-07-27,71.95,72.15,70.05,71.6,70.5
FLFL,2021-07-28,70.5,71.7,68.1,69.0,69.4
