COMPANY_NAME,DATE1,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,LAST_PRICE,CLOSE_PRICE
GENESYS,2021-07-01,128.9,133.55,128.5,131.95,131.0
GENESYS,2021-07-02,134.75,144.1,132.45,144.1,144.1
GENESYS,2021-07-05,156.9,158.5,156.9,158.5,158.5
GENESYS,2021-07-06,166.4,166.4,153.05,160.0,160.15
GENESYS,2021-07-07,163.75,163.75,152.15,152.2,153.25
GENESYS,2021-07-08,151.0,158.4,146.75,155.0,153.15
GENESYS,2021-07-09,155.7,155.7,146.75,149.8,147.95
GENESYS,2021-07-12,152.0,155.3,149.25,155.3,155.3
GENESYS,2021-07-13,163.05,163.05,163.05,163.05,163.05
GENESYS,2021-07-14,171.2,171.2,171.2,171.2,171.2
GENESYS,2021-07-15,179.75,179.75,179.75,179.75,179.75
GENESYS,2021-07-16,188.7,188.7,170.8,172.9,174.6
GENESYS,2021-07-19,167.0,171.95,165.9,165.9,165.9
GENESYS,2021-07-20,159.2,162.9,157.65,157.65,157.65
GENESYS,2021-07-20,159.2,162.9,157.65,157.65,157.65
GENESYS,2021-07-22,156.0,165.5,152.1,162.25,162.85
GENESYS,2021-07-23,162.8,169.9,159.0,161.2,162.25
GENESYS,2021-07-26,160.05,164.65,156.25,158.0,157.85
GENESYS,2021-07-27,161.15,163.9,155.7,157.7,157.45
GENESYS,2021-07-28,159.0,159.8,149.6,150.95,150.75
