COMPANY_NAME,DATE1,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,LAST_PRICE,CLOSE_PRICE
GENUSPOWER,2021-07-01,68.2,68.3,63.7,65.7,66.05
GENUSPOWER,2021-07-02,66.35,67.65,64.55,66.2,66.2
GENUSPOWER,2021-07-05,66.6,69.8,65.85,69.0,69.3
GENUSPOWER,2021-07-06,69.0,75.0,68.75,72.6,72.55
GENUSPOWER,2021-07-07,71.1,72.8,69.7,71.2,71.25
GENUSPOWER,2021-07-08,71.45,75.95,70.45,72.5,72.65
GENUSPOWER,2021-07-09,72.55,76.35,71.75,74.4,74.45
GENUSPOWER,2021-07-12,75.7,76.95,72.55,73.0,73.15
GENUSPOWER,2021-07-13,73.7,75.6,72.7,73.7,73.95
GENUSPOWER,2021-07-14,74.0,74.45,72.0,72.75,72.45
GENUSPOWER,2021-07-15,73.0,74.0,70.3,71.0,71.0
GENUSPOWER,2021-07-16,71.0,72.65,70.2,71.3,71.35
GENUSPOWER,2021-07-19,70.4,72.5,70.3,70.4,70.8
GENUSPOWER,2021-07-20,70.2,71.2,66.35,68.75,68.35
GENUSPOWER,2021-07-20,70.2,71.2,66.35,68.75,68.35
GENUSPOWER,2021-07-22,70.0,70.2,68.6,69.15,69.15
GENUSPOWER,2021-07-23,68.55,69.75,67.4,67.85,67.9
GENUSPOWER,2021-07-26,66.2,73.0,66.2,72.0,71.5
GENUSPOWER,2021-07-27,72.2,72.65,68.8,70.7,70.45
GENUSPOWER,2021-07-28,70.55,71.3,67.2,70.65,70.75
