COMPANY_NAME,DATE1,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,LAST_PRICE,CLOSE_PRICE
GEOJITFSL,2021-07-01,75.95,77.6,74.95,77.35,77.1
GEOJITFSL,2021-07-02,77.4,79.8,76.05,76.3,76.35
GEOJITFSL,2021-07-05,78.9,82.5,77.85,79.55,79.75
GEOJITFSL,2021-07-06,79.6,82.3,78.2,79.1,78.85
GEOJITFSL,2021-07-07,79.0,86.95,78.65,84.8,84.4
GEOJITFSL,2021-07-08,84.9,84.9,80.2,81.85,81.65
GEOJITFSL,2021-07-09,81.7,86.35,81.25,84.45,84.65
GEOJITFSL,2021-07-12,85.65,87.55,84.55,84.95,84.9
GEOJITFSL,2021-07-13,85.5,87.2,84.35,85.8,85.8
GEOJITFSL,2021-07-14,86.7,89.6,85.35,87.8,88.3
GEOJITFSL,2021-07-15,88.95,92.25,88.4,89.3,89.2
GEOJITFSL,2021-07-16,89.9,102.7,89.5,96.8,96.75
GEOJITFSL,2021-07-19,94.75,101.0,93.2,96.0,95.65
GEOJITFSL,2021-07-20,96.4,97.9,91.25,92.25,92.2
GEOJITFSL,2021-07-20,96.4,97.9,91.25,92.25,92.2
GEOJITFSL,2021-07-22,93.2,96.0,92.65,93.4,93.35
GEOJITFSL,2021-07-23,94.0,94.3,91.1,91.95,91.6
GEOJITFSL,2021-07-26,93.0,93.9,91.9,92.55,92.4
GEOJITFSL,2021-07-27,93.5,96.65,92.0,94.8,94.7
GEOJITFSL,2021-07-28,95.45,96.3,91.9,92.5,92.9
